"anuncio";"sku";"produto";"fornecedor";"status";"preco_anterior";"preco_verificado";"margem_verificada";"alvo";"pendencia"
"MLB6564925370";"VTK000980";"Gabinete Gamer Fortrek Crystal Mid Tower Preto";"INCONCLUSIVO";"ECONOMIA_INCONCLUSIVA";"219";"219";"";"0.1";"CUSTO_INDISPONIVEL"
"MLB6563496572";"VTK006351";"Smart Box TV 4k Proeletronic Stickpro PROSK-1000 Preto";"EVOLUSOM-PR";"ALVO_VALIDADO";"296.97";"321.9";"0.1";"0.1";""
"MLB6563424768";"VTK001232";"Suporte Triarticulado Com Inclinação Para TV 26""-75"" STPA2000 Multivisão";"BKR1";"ALVO_VALIDADO";"343.13";"372.46";"0.10001073940825861";"0.1";""
"MLB4582569783";"VTK000876";"Suporte Para Notebook NBC-40BK C3Tech";"EVOLUSOM-PR";"ALVO_VALIDADO";"68";"72.85";"0.07000686341798215";"0.07";""
"MLB6573129170";"VTK006019";"Nobreak Ts Shara XPRO Senoidal Universal 1400VA Bivolt";"EVOLUSOM-PR";"ALVO_VALIDADO";"1599";"1599";"0.21203252032520326";"0.15";""
"MLB6573117368";"VTK001071";"Arandela Frahm 6"" Quadrada Branca 25W RMS 8 Ohms";"EVOLUSOM-PR";"ALVO_VALIDADO";"259";"267.35";"0.10001870207593042";"0.1";""
"MLB6573116662";"VTK001208";"Arandela 6"" Frahm 40w Quadrada Cx Branca";"EVOLUSOM-PR";"ALVO_VALIDADO";"217";"225.15";"0.10002220741727737";"0.1";""
"MLB6573116426";"VTK006293";"Microfone Sem Fio AKG WP300 Vocal Dual UHF";"EVOLUSOM-PR";"ALVO_VALIDADO";"1770";"1916.65";"0.15000130435916834";"0.15";""
"MLB4585881731";"VTK000800";"Arandela 6"" Frahm 40w Redonda Cx Branca";"EVOLUSOM-PR";"ALVO_VALIDADO";"219";"223.4";"0.09999999999999999";"0.1";""
"MLB4585868757";"VTK005449";"Plug P2 90° Storm Metal Gold - PCT / 10";"BKR1";"ALVO_VALIDADO";"230.23";"246.36";"0.1000162364020133";"0.1";""
"MLB4612598629";"VTK005449";"Plug P2 90° Storm Metal Gold - PCT / 10";"BKR1";"ALVO_VALIDADO";"230.23";"246.36";"0.1000162364020133";"0.1";""
"MLB6646506832";"VTK000800";"Arandela 6"" Frahm 40w Redonda Cx Branca";"EVOLUSOM-PR";"ALVO_VALIDADO";"219";"223.4";"0.09999999999999999";"0.1";""
"MLB6655134252";"VTK001232";"Suporte Triarticulado Com Inclinação Para TV 26""-75"" STPA2000 Multivisão";"BKR1";"ALVO_VALIDADO";"343.13";"372.46";"0.10001073940825861";"0.1";""
"MLB6681942972";"VTK006293";"Microfone Sem Fio AKG WP300 Vocal Dual UHF";"EVOLUSOM-PR";"ALVO_VALIDADO";"1770";"1916.65";"0.15000130435916834";"0.15";""
