"sku","fase","mlb","preco","cmv","oferta","fornecedor","tarifa","tarifa_origem","frete","frete_origem","tributo","tributo_status","aliquota","resultado","margem","faixa","piso","alvo","limite","modelo","timestamp"
"VTK017680","SIMULACAO_NAO_AUTORIZA_PUBLICACAO","","65.47","33.99","dad83b6f-2a9d-419f-929a-ba6a72ce9543","133","8.51","ml_live","12.95","ml_live","5.43","estimated","0.08279935223578168","4.59","0.07010844661677104","BELOW_200","0.05","0.07","0.1","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:14:32.180Z"
"VTK017308","SIMULACAO_NAO_AUTORIZA_PUBLICACAO","","155.13","89.9","6aa7ac8f-57e5-47d3-b0e6-b7601ae4fbe6","133","20.17","ml_live","21.35","ml_live","12.85","estimated","0.08279935223578168","10.86","0.07000580158576677","BELOW_200","0.05","0.07","0.1","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:14:34.951Z"
"VTK002091","SIMULACAO_NAO_AUTORIZA_PUBLICACAO","","169.63","99.9","89ab142e-aba9-4c1e-ac55-c1d860e470b7","133","22.05","ml_live","21.75","ml_live","14.05","estimated","0.08279935223578168","11.88","0.07003478158344634","BELOW_200","0.05","0.07","0.1","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:14:38.133Z"
"VTK017291","SIMULACAO_NAO_AUTORIZA_PUBLICACAO","","96.7","52.9","2245de45-2b90-4247-a656-4bbf82e97bae","133","12.57","ml_live","16.45","ml_live","8.01","estimated","0.08279935223578168","6.77","0.07001034126163391","BELOW_200","0.05","0.07","0.1","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:14:42.078Z"
"VTK018523","SIMULACAO_NAO_AUTORIZA_PUBLICACAO","","286.47","179.9","d5bcb01c-5809-4fe0-b981-8a6cdc0ba14e","133","28.65","ml_live","25.55","ml_live","23.72","estimated","0.08279935223578168","28.65","0.10001047230076446","FROM_200_TO_1000","0.07","0.1","0.15","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:14:46.998Z"
"VTK017289","SIMULACAO_NAO_AUTORIZA_PUBLICACAO","","94.76","52.9","7f188ea8-1741-4fb7-8185-1ee86f152261","133","12.32","ml_live","15.05","ml_live","7.85","estimated","0.08279935223578168","6.64","0.07007176023638666","BELOW_200","0.05","0.07","0.1","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:14:50.871Z"
"VTK018716","SIMULACAO_NAO_AUTORIZA_PUBLICACAO","","230.15","134.9","b3670941-cb0d-4a5d-8e5e-0c7fe9843daa","133","29.92","ml_live","23.25","ml_live","19.06","estimated","0.08279935223578168","23.02","0.1000217249619813","FROM_200_TO_1000","0.07","0.1","0.15","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:14:54.095Z"
"VTK002091","PREPARACAO","","169.63","99.9","89ab142e-aba9-4c1e-ac55-c1d860e470b7","133","22.05","ml_live","21.75","ml_live","14.05","estimated","0.08279935223578168","11.88","0.07003478158344634","BELOW_200","0.05","0.07","0.1","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:12:21.743Z"
"VTK018523","PREPARACAO","","286.47","179.9","d5bcb01c-5809-4fe0-b981-8a6cdc0ba14e","133","28.65","ml_live","25.55","ml_live","23.72","estimated","0.08279935223578168","28.65","0.10001047230076446","FROM_200_TO_1000","0.07","0.1","0.15","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:12:28.994Z"
"VTK002091","PRE_POST_VALIDADO","","169.63","99.9","89ab142e-aba9-4c1e-ac55-c1d860e470b7","133","22.05","ml_live","21.75","ml_live","14.05","estimated","0.08279935223578168","11.88","0.07003478158344634","BELOW_200","0.05","0.07","0.1","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:23:37.464Z"
"VTK018523","PRE_POST_VALIDADO","","286.47","179.9","d5bcb01c-5809-4fe0-b981-8a6cdc0ba14e","133","28.65","ml_live","25.55","ml_live","23.72","estimated","0.08279935223578168","28.65","0.10001047230076446","FROM_200_TO_1000","0.07","0.1","0.15","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:38:42.204Z"
"VTK002091","POS_PUBLICACAO","MLB5193194293","169.63","99.9","89ab142e-aba9-4c1e-ac55-c1d860e470b7","133","22.05","ml_live","20.45","ml_live","14.05","estimated","0.08279935223578168","13.18","0.07769852030890763","BELOW_200","0.05","0.07","0.1","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:29:55.111Z"
"VTK018523","POS_PUBLICACAO","MLB7595130266","286.47","179.9","d5bcb01c-5809-4fe0-b981-8a6cdc0ba14e","133","28.65","ml_live","27.05","ml_live","23.72","estimated","0.08279935223578168","27.15","0.09477432191852549","FROM_200_TO_1000","0.07","0.1","0.15","VORTEK-CANON-1.0-ECON-2","2026-09-06T05:38:50.913Z"
