ordem,sku,produto,fornecedor,oferta_id,custo,estoque,identidade,conflito,vinculo,economia_competitiva,preco_alvo_vivo,margem_alvo_viva,piso,demanda,contribuicao_competitiva,fila,gate_publicacao,motivos,avisos,garantia_prazo_comprovado,publicado,ml_item_id,preco_publicado,margem_publicada
1,VTK018924,Telefone Celular Fixo Intelbras Gsm Cfa 4211 4114211,EVOLUSOM-PR,032d96ba-dd0b-4c45-a2f4-80310c957a1e,362.9,4,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,570.93,0.10001226069745854,0.07,SINAL_INDIRETO,244.94,PRONTOS_PARA_ANALISE,PENDENCIA_VALIDACAO,ATRIBUTO_OBRIGATORIO_ANATEL_NAO_COMPROVADO,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
2,VTK017284,Identificador De Fibra Ativa Evus Ev-430 10mw,EVOLUSOM-PR,9c3f72d4-7f55-4bf7-a686-228d521c6e2f,799.9,50,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,1291.84,0.1500030963586822,0.1,SEM_EVIDENCIA_DE_DEMANDA,197.06,PENDENCIAS_IDENTIDADE,MANTER_PAUSADO,"Catálogo descreve versões de alimentação alternativas e dimensão 200 mm, enquanto atributo LENGTH informa 26 cm. Conteúdo imutável pelo vendedor; validar catálogo antes de ativar.",APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,MLB7594384288,,
3,VTK018779,Central De Cerca Elétrica Gcp Shock Battery Cx-7804,EVOLUSOM-PR,58b971a2-1dca-4196-8467-de7a0a106795,115.9,5,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,186.23,0.07002094184610427,0.05,SEM_EVIDENCIA_DE_DEMANDA,125.7,EXPLORATORIOS,PENDENCIA_VALIDACAO,FABRICANTE_CATALOGO_CITROX_VS_GCP_PPA_E_VOLTAGEM_PENDENTE,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
4,VTK017675,Headset Pro Evus Comanche F-14 7.1,EVOLUSOM-PR,6703d892-87de-4398-9fe2-39daaecc92bc,149.9,22,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,255.17,0.10001175686797037,0.07,SEM_EVIDENCIA_DE_DEMANDA,83.91,EXPLORATORIOS,PENDENCIA_VALIDACAO,SENSIBILIDADE_CATALOGO_3DB_VS_OFERTA_103_MAIS_MENOS_3DB,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
5,VTK018412,Caixa De Medusa Santo Angelo Bsmed16 16 Vias,EVOLUSOM-PR,0a505e50-341f-421f-b1ae-d6c2e23b9993,159.9,8,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,258.86,0.10001545236807541,0.07,SEM_EVIDENCIA_DE_DEMANDA,77.39,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
6,VTK018343,"Alto Falante Bravox Flat Flt10d-4 10"" 180w Rms 4r+4r Subwoofer",EVOLUSOM-PR,43c0c84a-42a9-483e-b052-7929b6c4079f,290.99,7,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,443.45,0.10001127522832338,0.07,SEM_EVIDENCIA_DE_DEMANDA,72.78,EXPLORATORIOS,PENDENCIA_VALIDACAO,MATERIAL_CARCAÇA_CATALOGO_ACO_VS_NYLON_FIBERGLASS,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
7,VTK018405,Cabo Extensor Para Microfone Ptt Aquário Ac-04 4 Pinos 5m,EVOLUSOM-PR,113e42c1-f6c0-4b9c-9081-9b14308e583c,72.9,9,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,125.3,0.07007182761372706,0.05,SEM_EVIDENCIA_DE_DEMANDA,69.89,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
8,VTK018564,Interruptor Smart Wi-fi Ews101 Intelbras 4850000,EVOLUSOM-PR,1ad9609b-b0dd-4013-b2c5-d8db156620d5,105.64,8,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,168.02,0.07005118438281156,0.05,SEM_EVIDENCIA_DE_DEMANDA,65.93,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
9,VTK018402,"Cooler Plano Para Notebooks Até 16"" Targus - Awe69us",EVOLUSOM-PR,033f63b0-560e-4700-a156-d3761531ba93,84.9,9,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,144.95,0.07002414625733012,0.05,SEM_EVIDENCIA_DE_DEMANDA,64.03,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
10,VTK018538,Sensor De Presença Multilaser Microondas Com Pet Immunity 90° De Cobertura Até 45kg Se414,EVOLUSOM-PR,464d38c4-43b8-409f-ac9c-7d3db8da198c,233.9,6,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,367.93,0.1000190253580844,0.07,SEM_EVIDENCIA_DE_DEMANDA,62.53,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
