sku,identidade,conflito,vinculo,gate_publicacao,motivos,garantia_prazo_comprovado
VTK018924,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK017284,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK018779,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK017675,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK018412,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK018343,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK018405,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK018564,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK018402,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK018538,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK018319,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK017249,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK002091,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK019530,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK017289,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK018318,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK026044,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK018303,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK017481,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
VTK017628,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,PENDENTE,PRAZO_E_COBERTURA_GARANTIA_NAO_COMPROVADOS,
