sku,coorte,tipo,custo,preco,tarifa,frete,tributo,aliquota,tributo_status,custos_variaveis,custos_variaveis_origem,resultado,margem,piso,alvo,limite,faixa,tarifa_origem,frete_origem,tarifa_evidencia,frete_evidencia,tarifa_instante,frete_instante,tributo_origem,oferta_id,fornecedor_id,custo_instante,avaliado_em,status,regra
VTK018924,RADAR_LAUNCH_2026_09_COHORT_01,SIMULACAO_ALVO_NAO_PUBLICADA,362.9,570.93,62.8,40.85,47.28,0.08279935223578168,estimated,,unknown,57.1,0.10001226069745854,0.07,0.1,0.15,FROM_200_TO_1000,ml_live,ml_live,/sites/MLB/listing_prices?price=570.93&category_id=MLB1053&currency_id=BRL&listing_type_id=gold_special&logistic_type=xd_drop_off&shipping_mode=me2,/users/3294514937/shipping_options/free?item_price=570.93&listing_type_id=gold_special&mode=me2&logistic_type=xd_drop_off&condition=new&free_shipping=true&verbose=true&dimensions=24x15x92%2C3500,2026-09-05T20:04:19.855Z,2026-09-05T20:04:19.855Z,RBT12_PEDIDOS_OPERACIONAIS,032d96ba-dd0b-4c45-a2f4-80310c957a1e,133,2026-09-05T20:02:28.247+00:00,2026-09-05T20:04:19.855Z,estimated,M2M-PRC-01-v1
VTK017284,RADAR_LAUNCH_2026_09_COHORT_01,SIMULACAO_ALVO_NAO_PUBLICADA,799.9,1291.84,167.94,23.25,106.97,0.08279935223578168,estimated,,unknown,193.78,0.1500030963586822,0.1,0.15,0.2,ABOVE_1000,ml_live,ml_live,/sites/MLB/listing_prices?price=1291.84&category_id=MLB277515&currency_id=BRL&listing_type_id=gold_special&logistic_type=xd_drop_off&shipping_mode=me2,/users/3294514937/shipping_options/free?item_price=1291.84&listing_type_id=gold_special&mode=me2&logistic_type=xd_drop_off&condition=new&free_shipping=true&verbose=true&dimensions=8x6x26%2C336,2026-09-05T20:04:23.988Z,2026-09-05T20:04:23.988Z,RBT12_PEDIDOS_OPERACIONAIS,9c3f72d4-7f55-4bf7-a686-228d521c6e2f,133,2026-09-05T19:15:29.403+00:00,2026-09-05T20:04:23.988Z,estimated,M2M-PRC-01-v1
VTK018779,RADAR_LAUNCH_2026_09_COHORT_01,SIMULACAO_ALVO_NAO_PUBLICADA,115.9,186.23,21.42,20.45,15.42,0.08279935223578168,estimated,,unknown,13.04,0.07002094184610427,0.05,0.07,0.1,BELOW_200,ml_live,ml_live,/sites/MLB/listing_prices?price=186.23&category_id=MLB7070&currency_id=BRL&listing_type_id=gold_special&logistic_type=xd_drop_off&shipping_mode=me2,/users/3294514937/shipping_options/free?item_price=186.23&listing_type_id=gold_special&mode=me2&logistic_type=xd_drop_off&condition=new&free_shipping=true&verbose=true&dimensions=1x1x1%2C500,2026-09-05T20:04:28.290Z,2026-09-05T20:04:28.290Z,RBT12_PEDIDOS_OPERACIONAIS,58b971a2-1dca-4196-8467-de7a0a106795,133,2026-09-05T20:00:21.523+00:00,2026-09-05T20:04:28.290Z,estimated,M2M-PRC-01-v1
VTK017675,RADAR_LAUNCH_2026_09_COHORT_01,SIMULACAO_ALVO_NAO_PUBLICADA,149.9,255.17,33.17,25.45,21.13,0.08279935223578168,estimated,,unknown,25.52,0.10001175686797037,0.07,0.1,0.15,FROM_200_TO_1000,ml_live,ml_live,/sites/MLB/listing_prices?price=255.17&category_id=MLB1664&currency_id=BRL&listing_type_id=gold_special&logistic_type=xd_drop_off&shipping_mode=me2,/users/3294514937/shipping_options/free?item_price=255.17&listing_type_id=gold_special&mode=me2&logistic_type=xd_drop_off&condition=new&free_shipping=true&verbose=true&dimensions=13x21x25%2C584,2026-09-05T20:04:32.045Z,2026-09-05T20:04:32.045Z,RBT12_PEDIDOS_OPERACIONAIS,6703d892-87de-4398-9fe2-39daaecc92bc,133,2026-09-05T19:34:14.198+00:00,2026-09-05T20:04:32.045Z,estimated,M2M-PRC-01-v1
VTK018412,RADAR_LAUNCH_2026_09_COHORT_01,SIMULACAO_ALVO_NAO_PUBLICADA,159.9,258.86,27.18,24.45,21.44,0.08279935223578168,estimated,,unknown,25.89,0.10001545236807541,0.07,0.1,0.15,FROM_200_TO_1000,ml_live,ml_live,/sites/MLB/listing_prices?price=258.86&category_id=MLB30173&currency_id=BRL&listing_type_id=gold_special&logistic_type=xd_drop_off&shipping_mode=me2,/users/3294514937/shipping_options/free?item_price=258.86&listing_type_id=gold_special&mode=me2&logistic_type=xd_drop_off&condition=new&free_shipping=true&verbose=true&dimensions=6x9x24%2C618,2026-09-05T20:04:31.527Z,2026-09-05T20:04:31.527Z,RBT12_PEDIDOS_OPERACIONAIS,0a505e50-341f-421f-b1ae-d6c2e23b9993,133,2026-09-05T19:52:27.578+00:00,2026-09-05T20:04:31.527Z,estimated,M2M-PRC-01-v1
VTK018343,RADAR_LAUNCH_2026_09_COHORT_01,SIMULACAO_ALVO_NAO_PUBLICADA,290.99,443.45,44.34,27.05,36.72,0.08279935223578168,estimated,,unknown,44.35,0.10001127522832338,0.07,0.1,0.15,FROM_200_TO_1000,ml_live,ml_live,/sites/MLB/listing_prices?price=443.45&category_id=MLB3905&currency_id=BRL&listing_type_id=gold_special&logistic_type=xd_drop_off&shipping_mode=me2,/users/3294514937/shipping_options/free?item_price=443.45&listing_type_id=gold_special&mode=me2&logistic_type=xd_drop_off&condition=new&free_shipping=true&verbose=true&dimensions=8x28x29%2C2762,2026-09-05T20:04:31.543Z,2026-09-05T20:04:31.543Z,RBT12_PEDIDOS_OPERACIONAIS,43c0c84a-42a9-483e-b052-7929b6c4079f,133,2026-09-05T19:52:27.578+00:00,2026-09-05T20:04:31.543Z,estimated,M2M-PRC-01-v1
VTK018405,RADAR_LAUNCH_2026_09_COHORT_01,SIMULACAO_ALVO_NAO_PUBLICADA,72.9,125.3,16.29,16.95,10.38,0.08279935223578168,estimated,,unknown,8.78,0.07007182761372706,0.05,0.07,0.1,BELOW_200,ml_live,ml_live,/sites/MLB/listing_prices?price=125.3&category_id=MLB418301&currency_id=BRL&listing_type_id=gold_special&logistic_type=xd_drop_off&shipping_mode=me2,/users/3294514937/shipping_options/free?item_price=125.3&listing_type_id=gold_special&mode=me2&logistic_type=xd_drop_off&condition=new&free_shipping=true&verbose=true&dimensions=2x6x19%2C68,2026-09-05T20:04:31.539Z,2026-09-05T20:04:31.539Z,RBT12_PEDIDOS_OPERACIONAIS,113e42c1-f6c0-4b9c-9081-9b14308e583c,133,2026-09-05T19:48:31.322+00:00,2026-09-05T20:04:31.539Z,estimated,M2M-PRC-01-v1
VTK018564,RADAR_LAUNCH_2026_09_COHORT_01,SIMULACAO_ALVO_NAO_PUBLICADA,105.64,168.02,17.64,19.05,13.92,0.08279935223578168,estimated,,unknown,11.77,0.07005118438281156,0.05,0.07,0.1,BELOW_200,ml_live,ml_live,/sites/MLB/listing_prices?price=168.02&category_id=MLB269928&currency_id=BRL&listing_type_id=gold_special&logistic_type=xd_drop_off&shipping_mode=me2,/users/3294514937/shipping_options/free?item_price=168.02&listing_type_id=gold_special&mode=me2&logistic_type=xd_drop_off&condition=new&free_shipping=true&verbose=true&dimensions=9x5x13%2C182,2026-09-05T20:04:35.439Z,2026-09-05T20:04:35.439Z,RBT12_PEDIDOS_OPERACIONAIS,1ad9609b-b0dd-4013-b2c5-d8db156620d5,133,2026-09-05T19:52:27.578+00:00,2026-09-05T20:04:35.439Z,estimated,M2M-PRC-01-v1
VTK018402,RADAR_LAUNCH_2026_09_COHORT_01,SIMULACAO_ALVO_NAO_PUBLICADA,84.9,144.95,18.84,19.05,12.01,0.08279935223578168,estimated,,unknown,10.15,0.07002414625733012,0.05,0.07,0.1,BELOW_200,ml_live,ml_live,/sites/MLB/listing_prices?price=144.95&category_id=MLB63262&currency_id=BRL&listing_type_id=gold_special&logistic_type=xd_drop_off&shipping_mode=me2,/users/3294514937/shipping_options/free?item_price=144.95&listing_type_id=gold_special&mode=me2&logistic_type=xd_drop_off&condition=new&free_shipping=true&verbose=true&dimensions=3x27x39%2C550,2026-09-05T20:04:35.479Z,2026-09-05T20:04:35.479Z,RBT12_PEDIDOS_OPERACIONAIS,033f63b0-560e-4700-a156-d3761531ba93,133,2026-09-05T19:48:31.322+00:00,2026-09-05T20:04:35.479Z,estimated,M2M-PRC-01-v1
VTK018538,RADAR_LAUNCH_2026_09_COHORT_01,SIMULACAO_ALVO_NAO_PUBLICADA,233.9,367.93,42.31,24.45,30.47,0.08279935223578168,estimated,,unknown,36.8,0.1000190253580844,0.07,0.1,0.15,FROM_200_TO_1000,ml_live,ml_live,/sites/MLB/listing_prices?price=367.93&category_id=MLB7070&currency_id=BRL&listing_type_id=gold_special&logistic_type=xd_drop_off&shipping_mode=me2,/users/3294514937/shipping_options/free?item_price=367.93&listing_type_id=gold_special&mode=me2&logistic_type=xd_drop_off&condition=new&free_shipping=true&verbose=true&dimensions=10x19x19%2C541,2026-09-05T20:04:35.435Z,2026-09-05T20:04:35.435Z,RBT12_PEDIDOS_OPERACIONAIS,464d38c4-43b8-409f-ac9c-7d3db8da198c,133,2026-09-05T19:54:31.976+00:00,2026-09-05T20:04:35.435Z,estimated,M2M-PRC-01-v1
