ml_item_id,sku,produto_id,status,titulo,categoria,tipo_atual,prazo_atual,origem_comprovada,prazo_proposto,unidade,fonte,evidencia_em,pendencia,acao,doze_meses_sem_evidencia,observado_em
MLB6563496572,VTK006351,75b0bd7e-9277-4d78-a381-da40cb21ddc6,active,Tv Stick Proeletronic Prosk-1000 4k 2gb 16gb Preto De Voz,MLB133950,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,1,anos,produto_fornecedor_ofertas:1c1fdd88-7a1d-4c36-bc07-2638e90a7756:descricao,2026-09-05T23:56:33.118+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:04.503Z
MLB4582569783,VTK000876,ba5b084f-f17d-4e9f-bd13-ecf478e7d832,active,Suporte Notebook C3tech Nbc-40bk 2 Coolers Ajuste Altura Preto,MLB63262,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,365,dias,produto_fornecedor_ofertas:1ea7c305-7bc7-4c7b-b297-43ec14652d2a:descricao,2026-09-05T23:34:29.139+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:04.847Z
MLB6573129170,VTK006019,300e672f-19a0-474c-9936-7c183657b728,active,Nobreak Ts Shara 4551 1400va Senoidal Puro Bivolt Preto,MLB270504,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,1,anos,produto_fornecedor_ofertas:06239c40-7b72-4b64-b54f-b8818aba70e0:descricao,2026-09-06T02:19:22.264+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:04.853Z
MLB7009932794,VTK000475,c0aca4b3-e5d6-43b3-8e99-780ca2af64bf,active,Ventilador Parede Ventisol Monta Fácil 50cm 6 Pás 50 Cm Preto 220v 6,MLB1645,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:43c0a42b-fcb4-46b1-a2ef-8c338630d03a:descricao,2026-09-05T23:49:23.933+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:09.256Z
MLB7009920192,VTK000153,8087bbbd-151f-4836-bf56-4905ef1f645a,active,Ventilador Parede Ventisol New 60cm 220v Preto 60 Cm Preto 220v Plástico,MLB1645,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:f66f58e9-0207-4e3c-b988-30741172a542:descricao,2026-09-05T23:23:22.863+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:09.565Z
MLB7009318968,VTK000244,908597bc-ffb3-4481-a8ac-fe59607034be,active,Antena Externa Tv 4 Em 1 Vhf/uhf/fm/hdtv Dtv-3000 Aquário,MLB44572,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,1,anos,produto_fornecedor_ofertas:e9e58c6e-a022-49fe-af6c-0acb1262d089:descricao,2026-09-05T23:34:29.139+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:10.046Z
MLB4801296963,VTK000489,eaadf369-f775-4c55-baf3-c4e47c13c248,active,Ventilador Coluna Ventisol Turbo 6 Pás 30cm 30 Cm Preto 220v 6,MLB1645,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:deb35075-bdee-4023-a4d2-17f520a90017:descricao,2026-09-06T00:09:15.988+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:11.088Z
MLB4801121037,VTK003936,68ebf1e8-8ca5-48f7-ac75-ba6933fed00a,active,Liquidificador Agratto Forza De 1.5 L E 850 W Com 4 Lâminas E Função Pulsar Preto 127v,MLB73055,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:42a88376-6279-458f-b188-18badaf072f6:descricao,2026-09-06T00:04:27.035+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:11.550Z
MLB4801083479,VTK000232,78400094-ed29-4314-a706-ddec20726464,active,Leitor Código Barras C3tech Lb-50bk 1d Laser 5v Preto Usb,MLB5906,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,365,dias,produto_fornecedor_ofertas:61cf6958-e115-48c9-9350-fd5efe1d6a7d:descricao,2026-09-05T23:37:28.28+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:11.562Z
MLB4801081999,VTK003936,68ebf1e8-8ca5-48f7-ac75-ba6933fed00a,active,"Liquidificador Agratto Forza Lqlf-01 1,5l 850w Preto 127v",MLB73055,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:42a88376-6279-458f-b188-18badaf072f6:descricao,2026-09-06T00:04:27.035+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:11.550Z
