ml_item_id,sku,status,pricing_group_id,preco_unitario,acao,faixas_json,observado_em
MLB6564925370,VTK000980,active,ml:MLB6564925370:MLB7381240556,219,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""31"", ""type"": ""standard"", ""amount"": 212.43, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-25T15:07:30Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""32"", ""type"": ""standard"", ""amount"": 210.24, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-25T15:07:30Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""33"", ""type"": ""standard"", ""amount"": 208.05, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-25T15:07:30Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:04.485Z
MLB6563496572,VTK006351,active,ml:MLB6563496572:MLB7023171888,296.97,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""30"", ""type"": ""standard"", ""amount"": 290.19, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-07T21:39:48Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""31"", ""type"": ""standard"", ""amount"": 287.2, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-07T21:39:48Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""32"", ""type"": ""standard"", ""amount"": 284.21, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-07T21:39:48Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:04.503Z
MLB6563424768,VTK001232,active,ml:MLB6563424768:MLB6655134252,343.13,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""13"", ""type"": ""standard"", ""amount"": 330, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-04-14T13:55:11Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 2}}, {""id"": ""14"", ""type"": ""standard"", ""amount"": 326.63, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-04-14T13:55:11Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""15"", ""type"": ""standard"", ""amount"": 319.89, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-04-14T13:55:11Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}]",2026-09-06T03:11:04.511Z
MLB4582573509,VTK003694,active,ml:MLB4582573509:MLB4786772139,246.52,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""20"", ""type"": ""standard"", ""amount"": 239.12, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-31T05:31:44Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""21"", ""type"": ""standard"", ""amount"": 236.66, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-31T05:31:44Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""22"", ""type"": ""standard"", ""amount"": 234.19, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-31T05:31:44Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:04.491Z
MLB4582569783,VTK000876,active,ml:MLB4582569783:MLB5191246487,68,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""37"", ""type"": ""standard"", ""amount"": 65.96, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-26T03:01:15Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""38"", ""type"": ""standard"", ""amount"": 65.28, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-26T03:01:15Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""39"", ""type"": ""standard"", ""amount"": 64.6, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-07-26T03:01:15Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:04.847Z
MLB6573129170,VTK006019,active,ml:MLB4786772237:MLB6573129170,1359.48,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""13"", ""type"": ""standard"", ""amount"": 1318.7, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-21T18:19:57Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""14"", ""type"": ""standard"", ""amount"": 1305.1, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-21T18:19:57Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""15"", ""type"": ""standard"", ""amount"": 1291.51, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-21T18:19:57Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:04.853Z
MLB6573117368,VTK001071,active,ml:MLB4987964887:MLB6573117368,259,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""26"", ""type"": ""standard"", ""amount"": 251.23, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-04T04:28:33Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""27"", ""type"": ""standard"", ""amount"": 248.64, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-04T04:28:33Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""28"", ""type"": ""standard"", ""amount"": 246.05, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-04T04:28:33Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:04.862Z
MLB6573116662,VTK001208,active,item:MLB6573116662,217,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""27"", ""type"": ""standard"", ""amount"": 210.49, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-04T02:04:27Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""28"", ""type"": ""standard"", ""amount"": 208.32, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-04T02:04:27Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""29"", ""type"": ""standard"", ""amount"": 206.15, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-04T02:04:27Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:04.862Z
MLB6573116426,VTK006293,active,ml:MLB6573116426:MLB6681942972,1770,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""28"", ""type"": ""standard"", ""amount"": 1716.9, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-01T23:16:29Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""29"", ""type"": ""standard"", ""amount"": 1699.2, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-01T23:16:29Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""30"", ""type"": ""standard"", ""amount"": 1681.5, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-09-01T23:16:29Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:05.196Z
MLB4585881731,VTK000800,active,ml:MLB4585881731:MLB6646506832,219,REMOVER_APOS_AUTORIZACAO,"[{""id"": ""18"", ""type"": ""standard"", ""amount"": 212.43, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-17T05:57:52Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 3}}, {""id"": ""19"", ""type"": ""standard"", ""amount"": 210.24, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-17T05:57:52Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 5}}, {""id"": ""20"", ""type"": ""standard"", ""amount"": 208.05, ""regular_amount"": null, ""currency_id"": ""BRL"", ""last_updated"": ""2026-08-17T05:57:52Z"", ""conditions"": {""context_restrictions"": [""channel_marketplace"", ""user_type_business""], ""start_time"": null, ""end_time"": null, ""min_purchase_unit"": 10}}]",2026-09-06T03:11:05.037Z
