ml_item_id,sku,status,pricing_group_id,preco_remoto,ultima_origem_registrada,regra_historica,preco_evento,instante_evento,coincide_com_evento,acao
MLB6564925370,VTK000980,active,ml:MLB6564925370:MLB7381240556,219,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6563496572,VTK006351,active,ml:MLB6563496572:MLB7023171888,296.97,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6563424768,VTK001232,active,ml:MLB6563424768:MLB6655134252,343.13,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4582573509,VTK003694,active,ml:MLB4582573509:MLB4786772139,246.52,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4582569783,VTK000876,active,ml:MLB4582569783:MLB5191246487,68,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6573129170,VTK006019,active,ml:MLB4786772237:MLB6573129170,1359.48,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6573117368,VTK001071,active,ml:MLB4987964887:MLB6573117368,259,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6573116662,VTK001208,active,item:MLB6573116662,217,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6573116426,VTK006293,active,ml:MLB6573116426:MLB6681942972,1770,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4585881731,VTK000800,active,ml:MLB4585881731:MLB6646506832,219,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4585868757,VTK005449,active,ml:MLB4585868757:MLB4612598629,230.23,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4612598629,VTK005449,active,ml:MLB4585868757:MLB4612598629,230.23,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6646506832,VTK000800,active,ml:MLB4585881731:MLB6646506832,219,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6655134252,VTK001232,active,ml:MLB6563424768:MLB6655134252,343.13,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6681942972,VTK006293,active,ml:MLB6573116426:MLB6681942972,1770,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6957770878,VTK009673,active,ml:MLB4786789421:MLB6957770878,192.13,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773205281,VTK009701,active,ml:MLB4773205281:MLB4818724919,1890,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773203279,VTK009693,active,ml:MLB4773203279:MLB4786765399,977,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773181121,VTK009698,active,ml:MLB4773181121:MLB4818724579,1029,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773180493,VTK009697,active,ml:MLB4773180493:MLB7210717968,102.94,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773179543,VTK009691,active,ml:MLB4773179543:MLB7046574872,406.84,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773178955,VTK009686,active,ml:MLB4773178955:MLB4786777173,220.45,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773176491,VTK009677,active,ml:MLB4773176491:MLB4786777235,424.34,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773176129,VTK009676,active,item:MLB4773176129,207.13,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773175741,VTK009674,active,ml:MLB4773175741:MLB4786757691,138,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773142599,VTK009687,active,ml:MLB4773142599:MLB4786789975,176.92,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773141599,VTK009681,active,item:MLB4773141599,331.22,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773140039,VTK009678,active,ml:MLB4773140039:MLB4786777421,111,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773138349,VTK009671,active,ml:MLB4773138349:MLB4786765943,1199,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773137499,VTK009665,active,ml:MLB4773137499:MLB4786790373,167,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773133389,VTK009703,active,ml:MLB4773133389:MLB4786790443,451,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773133041,VTK009700,active,item:MLB4773133041,639,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773132737,VTK009699,active,item:MLB4773132737,365.37,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773130907,VTK009692,active,ml:MLB4773130907:MLB4786777951,1490.1,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773130609,VTK009690,active,ml:MLB4773130609:MLB4786766415,338.45,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773129795,VTK009682,active,ml:MLB4773129795:MLB4786778315,699,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773129109,VTK009680,active,ml:MLB4773129109:MLB4786791051,178.02,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773128165,VTK009679,active,ml:MLB4773128165:MLB6978727712,178.55,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4773125633,VTK009666,active,ml:MLB4773125633:MLB4799211343,217.52,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4772970809,VTK009688,active,,52.09,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6978727712,VTK009679,active,ml:MLB4773128165:MLB6978727712,178.55,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4786791051,VTK009680,active,ml:MLB4773129109:MLB4786791051,178.02,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4786790443,VTK009703,active,ml:MLB4773133389:MLB4786790443,451,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4786790373,VTK009665,active,ml:MLB4773137499:MLB4786790373,167,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
