ml_item_id,sku,produto_id,avaliacao_id,preco,cmv,componentes,tarifa,origem_tarifa,frete,origem_frete,tributo_aliquota,tributo_status,resultado,margem,piso,alvo,limite,status,pendencias,regra,avaliado_em
MLB6564925370,VTK000980,bb7cec2f-9a63-4053-9821-78f611c0c726,8cdd9bcd-506b-4645-bc1f-f4270de677d3,219,,null,39.42,ml_live,50.75,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:32.184Z
MLB6563496572,VTK006351,75b0bd7e-9277-4d78-a381-da40cb21ddc6,37529021-12d9-457f-9cc1-3a80d1c401ca,296.97,189.9,"[{""productId"": ""75b0bd7e-9277-4d78-a381-da40cb21ddc6"", ""offerId"": ""1c1fdd88-7a1d-4c36-bc07-2638e90a7756"", ""supplierId"": ""133"", ""unitCost"": 189.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:56:33.118+00:00""}]",47.52,ml_live,21.65,ml_live,0.08279935223578168,estimated,13.31,0.04481934202107957,0.07,0.1,0.15,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:32.183Z
MLB6563424768,VTK001232,4bbc6e37-741f-43fb-9a70-56d4e78c138c,07b45d5a-5390-4987-abac-1b554ce3a917,343.13,208.08,"[{""productId"": ""4bbc6e37-741f-43fb-9a70-56d4e78c138c"", ""offerId"": ""0fe6754f-6e37-419a-9d5a-51e941a890ec"", ""supplierId"": ""108"", ""unitCost"": 208.08, ""quantity"": 1, ""observedAt"": ""2026-09-06T03:19:31.12+00:00""}]",61.76,ml_live,29.25,ml_live,0.08279935223578168,estimated,15.62,0.04552210532451258,0.07,0.1,0.15,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:32.178Z
MLB4582573509,VTK003694,f5ed76b1-af7c-4d2b-b8bb-35e9e74e9d11,77940981-48ae-4a4f-929c-31f74379a55c,246.52,153.74,"[{""productId"": ""f5ed76b1-af7c-4d2b-b8bb-35e9e74e9d11"", ""offerId"": ""a3c02935-04d7-4c64-b872-0e82c0528780"", ""supplierId"": ""108"", ""unitCost"": 153.74, ""quantity"": 1, ""observedAt"": ""2026-09-06T03:07:26.424+00:00""}]",35.75,ml_live,21.65,ml_live,0.08279935223578168,estimated,14.96,0.06068473146195035,0.07,0.1,0.15,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:32.179Z
MLB4582569783,VTK000876,ba5b084f-f17d-4e9f-bd13-ecf478e7d832,454b7c1f-0675-4f9a-8510-90c2f471cbef,68,39.95,"[{""productId"": ""ba5b084f-f17d-4e9f-bd13-ecf478e7d832"", ""offerId"": ""1ea7c305-7bc7-4c7b-b297-43ec14652d2a"", ""supplierId"": ""133"", ""unitCost"": 39.95, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:34:29.139+00:00""}]",12.24,ml_live,8.65,ml_live,0.08279935223578168,estimated,1.52,0.02235294117647059,0.05,0.07,0.1,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:32.614Z
MLB6573129170,VTK006019,300e672f-19a0-474c-9936-7c183657b728,832b7c74-0920-4893-b216-2494743f38b1,1359.48,788.99,"[{""productId"": ""300e672f-19a0-474c-9936-7c183657b728"", ""offerId"": ""06239c40-7b72-4b64-b54f-b8818aba70e0"", ""supplierId"": ""133"", ""unitCost"": 788.99, ""quantity"": 1, ""observedAt"": ""2026-09-06T02:19:22.264+00:00""}]",244.71,ml_live,50.75,ml_live,0.08279935223578168,estimated,162.46,0.1195015741312855,0.1,0.15,0.2,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:32.615Z
MLB6573117368,VTK001071,a2dc48d7-0c98-4236-b8ed-e6d99a7284d3,2f7b7348-52b4-4970-8862-2d5c55d475a4,259,144.9,"[{""productId"": ""a2dc48d7-0c98-4236-b8ed-e6d99a7284d3"", ""offerId"": ""af915046-eb8c-4df5-ba7d-9f790fa4b2eb"", ""supplierId"": ""133"", ""unitCost"": 144.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:42:16.18+00:00""}]",46.62,ml_live,25.45,ml_live,0.08279935223578168,estimated,20.58,0.07945945945945945,0.07,0.1,0.15,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:32.618Z
MLB6573116662,VTK001208,1441f65f-4400-43bc-b569-697a8a3ab9d8,dcb7e66e-d295-4081-bd80-cbb0f5901001,217,117.9,"[{""productId"": ""1441f65f-4400-43bc-b569-697a8a3ab9d8"", ""offerId"": ""63013637-2b84-4941-ab86-dcd14b144a66"", ""supplierId"": ""133"", ""unitCost"": 117.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:59:15.165+00:00""}]",39.06,ml_live,25.55,ml_live,0.08279935223578168,estimated,16.52,0.07612903225806451,0.07,0.1,0.15,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:32.617Z
MLB6573116426,VTK006293,f4172897-0b60-4588-9f05-dc6fff6429d4,10424373-9b37-4d51-ae5b-c9b1b79a7723,1770,1099.9,"[{""productId"": ""f4172897-0b60-4588-9f05-dc6fff6429d4"", ""offerId"": ""b40ab696-8ed6-4500-b90f-63ad99f77c14"", ""supplierId"": ""133"", ""unitCost"": 1099.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:59:15.165+00:00""}]",318.6,ml_live,25.55,ml_live,0.08279935223578168,estimated,179.39,0.1013502824858757,0.1,0.15,0.2,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:33.014Z
MLB4585881731,VTK000800,fed1928a-ea50-4056-8d93-e75a930e8463,d06d4bb3-5adb-4720-bf4e-19b869483162,219,116.9,"[{""productId"": ""fed1928a-ea50-4056-8d93-e75a930e8463"", ""offerId"": ""36a227ad-41cf-459a-8ab0-a49636d88b5c"", ""supplierId"": ""133"", ""unitCost"": 116.9, ""quantity"": 1, ""observedAt"": ""2026-09-06T03:36:22.097+00:00""}]",39.42,ml_live,25.45,ml_live,0.08279935223578168,estimated,19.09,0.0871689497716895,0.07,0.1,0.15,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:33.021Z
MLB4585868757,VTK005449,68cd3686-bf28-4fe4-a0ce-5f1b55736324,8ee916c3-033f-4b0f-b73d-2a1202af018d,230.23,135.33,"[{""productId"": ""68cd3686-bf28-4fe4-a0ce-5f1b55736324"", ""offerId"": ""34597807-28c2-4115-98c3-db3e8bb2afe7"", ""supplierId"": ""108"", ""unitCost"": 135.33, ""quantity"": 1, ""observedAt"": ""2026-09-06T03:07:26.424+00:00""}]",41.44,ml_live,21.65,ml_live,0.08279935223578168,estimated,12.74,0.05533596837944665,0.07,0.1,0.15,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:33.022Z
MLB4612598629,VTK005449,68cd3686-bf28-4fe4-a0ce-5f1b55736324,a03eabfd-c07d-4166-ae3e-440b7aa6bdff,230.23,135.33,"[{""productId"": ""68cd3686-bf28-4fe4-a0ce-5f1b55736324"", ""offerId"": ""34597807-28c2-4115-98c3-db3e8bb2afe7"", ""supplierId"": ""108"", ""unitCost"": 135.33, ""quantity"": 1, ""observedAt"": ""2026-09-06T03:07:26.424+00:00""}]",41.44,ml_live,21.65,ml_live,0.08279935223578168,estimated,12.74,0.05533596837944665,0.07,0.1,0.15,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:33.031Z
MLB6646506832,VTK000800,fed1928a-ea50-4056-8d93-e75a930e8463,f26070a3-3b34-4b06-896e-25618d44b1d6,219,116.9,"[{""productId"": ""fed1928a-ea50-4056-8d93-e75a930e8463"", ""offerId"": ""36a227ad-41cf-459a-8ab0-a49636d88b5c"", ""supplierId"": ""133"", ""unitCost"": 116.9, ""quantity"": 1, ""observedAt"": ""2026-09-06T03:36:22.097+00:00""}]",39.42,ml_live,25.45,ml_live,0.08279935223578168,estimated,19.09,0.0871689497716895,0.07,0.1,0.15,estimated,TRIBUTO_ESTIMADO,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:33.429Z
