ml_item_id,sku,produto_id,avaliacao_id,preco,cmv,componentes,tarifa,origem_tarifa,frete,origem_frete,tributo_aliquota,tributo_status,resultado,margem,piso,alvo,limite,status,pendencias,regra,avaliado_em
MLB6564925370,VTK000980,bb7cec2f-9a63-4053-9821-78f611c0c726,8cdd9bcd-506b-4645-bc1f-f4270de677d3,219,,null,39.42,ml_live,50.75,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:32.184Z
MLB7009939716,VTK000021,2d01d838-97d2-4d70-816a-4eafef68c286,cf97741b-1e48-4255-9e97-113a3c958d78,279.27,160.9,"[{""productId"": ""2d01d838-97d2-4d70-816a-4eafef68c286"", ""offerId"": ""40d30b11-505f-45d1-899e-846faeb7be61"", ""supplierId"": ""133"", ""unitCost"": 160.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:44:32.769+00:00""}]",50.27,ml_live,,unknown,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:38.575Z
MLB7009927448,VTK000132,2fd6e9ee-a246-429f-952b-44f531b0c703,b6ca9cf8-c675-4641-a972-5a92c66da124,203.25,106.5,"[{""productId"": ""2fd6e9ee-a246-429f-952b-44f531b0c703"", ""offerId"": ""a4ebea97-4def-4cde-a8a0-1b9aa9349c60"", ""supplierId"": ""133"", ""unitCost"": 106.5, ""quantity"": 1, ""observedAt"": ""2026-09-06T00:06:32.508+00:00""}]",36.58,ml_live,,unknown,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:38.574Z
MLB7009921386,VTK000185,d2435385-d9b1-4485-ac66-bd838343790f,49cc8318-f789-4af8-a35f-b8946f1e9f2f,229.81,89.5,"[{""productId"": ""d2435385-d9b1-4485-ac66-bd838343790f"", ""offerId"": ""0532c39b-769f-45da-a192-9c6f70129d04"", ""supplierId"": ""133"", ""unitCost"": 89.5, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:47:16.203+00:00""}]",41.37,ml_live,,unknown,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:38.586Z
MLB7009318968,VTK000244,908597bc-ffb3-4481-a8ac-fe59607034be,1e8959f1-6c00-4a69-8fca-c3f1ce786cc9,194.68,99.9,"[{""productId"": ""908597bc-ffb3-4481-a8ac-fe59607034be"", ""offerId"": ""e9e58c6e-a022-49fe-af6c-0acb1262d089"", ""supplierId"": ""133"", ""unitCost"": 99.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:34:29.139+00:00""}]",35.04,ml_live,,unknown,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:39.815Z
MLB4801397717,VTK000132,2fd6e9ee-a246-429f-952b-44f531b0c703,a8be06ac-6f27-4d31-b87f-e5ff9f051ca3,203.25,106.5,"[{""productId"": ""2fd6e9ee-a246-429f-952b-44f531b0c703"", ""offerId"": ""a4ebea97-4def-4cde-a8a0-1b9aa9349c60"", ""supplierId"": ""133"", ""unitCost"": 106.5, ""quantity"": 1, ""observedAt"": ""2026-09-06T00:06:32.508+00:00""}]",36.58,ml_live,,unknown,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:41.295Z
MLB4801364301,VTK000185,d2435385-d9b1-4485-ac66-bd838343790f,42559e71-fc21-4629-bb0e-1a41fcfed0d9,229.81,89.5,"[{""productId"": ""d2435385-d9b1-4485-ac66-bd838343790f"", ""offerId"": ""0532c39b-769f-45da-a192-9c6f70129d04"", ""supplierId"": ""133"", ""unitCost"": 89.5, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:47:16.203+00:00""}]",41.37,ml_live,,unknown,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:41.969Z
MLB4801295297,VTK001026,3f549ed1-c4fa-49d4-8eff-e69b905095cf,2ff11ec6-8393-46dc-b9f4-3f958c6433ed,140.96,59.95,"[{""productId"": ""3f549ed1-c4fa-49d4-8eff-e69b905095cf"", ""offerId"": ""871ff6e5-adf9-43ae-ab7c-b8c3f57f39eb"", ""supplierId"": ""133"", ""unitCost"": 59.95, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:39:34.295+00:00""}]",25.37,ml_live,,unknown,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:40:41.966Z
MLB7238909634,VTK004716,2d3c2932-8844-4fd5-9727-2a80d82b3c5a,6aad16d7-908a-412c-a743-18f0ac557b00,102.44,29.9,"[{""productId"": ""2d3c2932-8844-4fd5-9727-2a80d82b3c5a"", ""offerId"": ""ea0a1431-ae60-4dbf-857c-534202041eab"", ""supplierId"": ""133"", ""unitCost"": 29.9, ""quantity"": 1, ""observedAt"": ""2026-09-05T23:54:23.934+00:00""}]",18.44,ml_live,,unknown,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:44:05.710Z
MLB7238889666,VTK020760,2b3dbc5d-3fcf-4445-b10e-a34dba4a9e3e,cdca4793-58d0-48f0-80f2-9c99e858298f,103.88,29.99,"[{""productId"": ""2b3dbc5d-3fcf-4445-b10e-a34dba4a9e3e"", ""offerId"": ""6950941c-937c-44e2-8630-aa94e57c8743"", ""supplierId"": ""133"", ""unitCost"": 29.99, ""quantity"": 1, ""observedAt"": ""2026-09-06T03:41:17.163+00:00""}]",18.7,ml_live,,unknown,0.08279935223578168,estimated,,,0.05,0.07,0.1,inconclusive,INCONCLUSIVO_FONTE_ML_INDISPONIVEL;FRETE_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:44:06.069Z
