sku,pricing_group_id,product_id,product_name,ml_item_ids,origin_ml_item_id,title,current_price,current_profit,current_margin_pct,experimental_price,experimental_profit,experimental_margin_pct,target_margin_pct,supplier_cost,fee_amount,shipping_amount,tax_rate,visits_30d,visits_90d,visits_150d,sales_30d,sales_90d,sales_150d,stock,price_to_win,catalog_synchronized_pair,sync_confirmed
VTK012344,VTK012344|MLB7111714880,2543cdb8-20c3-45e4-9387-133c1248a869,"Cabo Audio Y 1 FÃªmea X 2 Machos, Transparente. 20cm Automotivo Storm","[""MLB7111714880""]",MLB7111714880,"Cabo Audio Y 1 FÃªmea X 2 Machos, Transparente. 20cm",45.17,18.52,40.9959,23.76,1.66,7.0029,7.000000000000001,4.09,3.09,12.95,0.082799,0,0,0,0,0,0,9,0,false,true
VTK012481,VTK012481|MLB4857626123,d9d474b3-bacd-4eef-9421-67fc12c8db2d,Emenda T 1x2 Jack F Pequena Storm 05 Unidades,"[""MLB4857626123""]",MLB4857626123,Emenda T 1x2 Jack F Pequena Storm 05 Unidades,45.77,18.5,40.4149,24.74,1.73,7.0039,7.000000000000001,5.04,2.97,12.95,0.082799,0,3,3,0,0,0,10,0,false,true
VTK012271,VTK012271|MLB4857626107,9742177a-55a2-45a1-a81c-0263aa8fe0e4,Adaptador Hdmi Macho Para Hdmi FÃªmea Gold 90 Graus Storm,"[""MLB4857626107""]",MLB4857626107,Adaptador Hdmi Macho Para Hdmi FÃªmea Gold 90 Graus Storm,46.1,18.49,40.1084,24.82,1.74,7.0037,7.000000000000001,4.85,3.23,12.95,0.082799,0,0,0,0,0,0,24,0,false,true
VTK012412,VTK012412|MLB22343812,a39c10cb-9de0-459b-8583-6354c43685c1,Emenda Hdmi Fêmea Fêmea Gold Storm,"[""MLB4857627495"",""MLB7149338600""]",MLB4857627495,Emenda Hdmi Fêmea Fêmea Gold Storm,43.68,18.56,42.5022,22.06,1.55,7.0066,7.000000000000001,2.87,2.87,12.95,0.082799,2,5,5,0,0,0,12,17.74,true,true
VTK012177,VTK012177|MLB39242918,89aee6b8-21dc-4a8d-b6fe-2ea925f9da0e,Adaptador Usb Tipo C Macho Para Usb 3.0 Fêmea Storm,"[""MLB7149371294"",""MLB4857639801""]",MLB4857639801,Adaptador Usb Tipo C Macho Para Usb 3.0 Femea Adap0071 Prateado,43.82,18.57,42.3668,22.22,1.56,7.0279,7.000000000000001,2.98,2.89,12.95,0.082799,0,4,4,0,0,0,58,17.8,true,true
VTK012109,VTK012109|MLB7111714706,85fbfc06-a1e3-480d-b98e-810dd9948a24,Chave Comutadora On/off Quadrada 2 Polos Storm 10 Unidades,"[""MLB7111714706""]",MLB7111714706,Chave Comutadora On/off Quadrada 2 Polos Storm 10 Unidades,46.43,18.47,39.789,25.5,1.79,7.0142,7.000000000000001,5.59,3.06,12.95,0.082799,0,1,1,0,0,0,84,0,false,true
VTK012315,VTK012315|MLB4857638231,5b15833f-c576-4033-9b81-a7937ae079fe,"Cabo Usb A Macho Para Usb A Macho 2.0 1,8m Storm","[""MLB4857638231""]",MLB4857638231,"Cabo Usb A Macho Para Usb A Macho 2.0 1,8m Storm",47.23,18.45,39.0631,26.12,1.83,7.0126,7.000000000000001,5.78,3.4,12.95,0.082799,0,0,0,0,0,0,20,0,false,true
VTK012316,VTK012316|MLB20628909,71329df7-fae9-43ba-893f-1819a660be69,"Cabo Usb A Macho Para Mini Usb 5 Pinos 1,8m Storm","[""MLB7149337398"",""MLB4857638159""]",MLB4857638159,"Cabo De Dados Usb X Mini Usb 5 Pinos 1,80 Metros Usb 2.0 Cor Preto",48.61,18.41,37.8643,27.7,1.95,7.0233,7.000000000000001,6.91,3.6,12.95,0.082799,1,5,5,0,0,0,22,18.98,true,true
VTK012207,VTK012207|MLB7111713960,edcd9f41-02c4-4ed1-966e-fc3506ab945f,Suporte Cachimbo Para Microfone Storm,"[""MLB7111713960""]",MLB7111713960,Suporte Cachimbo Para Microfone Storm,48.65,18.4,37.829,28.03,1.97,7.0123,7.000000000000001,7.43,3.36,12.95,0.082799,0,2,2,0,0,0,48,0,false,true
VTK012346,VTK012346|MLB54220685,41ab0ec0-6fdb-4993-b612-e805f7d652cc,"Cabo Vga Hd15 Macho/macho, 1.5m Storm","[""MLB7111714526"",""MLB4880526301""]",MLB7111714526,"Cabo Vga Hd15 Macho/macho, 1.5m Storm",49.55,18.38,37.0854,28.77,2.02,7.0135,7.000000000000001,7.68,3.74,12.95,0.082799,0,2,2,0,0,0,19,18.58,true,true
