sku,pricing_group_id,origin_ml_item_id,ml_item_ids,previous_price,applied_price,http_status,confirmed_at,observed_prices,warnings
VTK012344,VTK012344|MLB7111714880,MLB7111714880,"[""MLB7111714880""]",45.17,23.76,200,2026-09-05T00:46:02.807Z,"{""MLB7111714880"":23.76}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012481,VTK012481|MLB4857626123,MLB4857626123,"[""MLB4857626123""]",45.77,24.74,200,2026-09-05T00:46:03.540Z,"{""MLB4857626123"":24.74}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012271,VTK012271|MLB4857626107,MLB4857626107,"[""MLB4857626107""]",46.1,24.82,200,2026-09-05T00:46:04.257Z,"{""MLB4857626107"":24.82}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012412,VTK012412|MLB22343812,MLB4857627495,"[""MLB4857627495"",""MLB7149338600""]",43.68,22.06,"{""MLB4857627495"":200,""MLB7149338600"":200}",2026-09-05T01:01:32.289Z,"{""MLB4857627495"":22.06,""MLB7149338600"":22.06}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012177,VTK012177|MLB39242918,MLB4857639801,"[""MLB7149371294"",""MLB4857639801""]",43.82,22.22,"{""MLB4857639801"":200,""MLB7149371294"":200}",2026-09-05T01:01:35.780Z,"{""MLB7149371294"":22.22,""MLB4857639801"":22.22}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012109,VTK012109|MLB7111714706,MLB7111714706,"[""MLB7111714706""]",46.43,25.5,"{""MLB7111714706"":200}",2026-09-05T01:01:36.511Z,"{""MLB7111714706"":25.5}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012315,VTK012315|MLB4857638231,MLB4857638231,"[""MLB4857638231""]",47.23,26.12,"{""MLB4857638231"":200}",2026-09-05T01:01:37.286Z,"{""MLB4857638231"":26.12}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012316,VTK012316|MLB20628909,MLB4857638159,"[""MLB7149337398"",""MLB4857638159""]",48.61,27.7,"{""MLB4857638159"":200,""MLB7149337398"":200}",2026-09-05T01:01:40.724Z,"{""MLB7149337398"":27.7,""MLB4857638159"":27.7}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012207,VTK012207|MLB7111713960,MLB7111713960,"[""MLB7111713960""]",48.65,28.03,"{""MLB7111713960"":200}",2026-09-05T01:01:41.463Z,"{""MLB7111713960"":28.03}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012346,VTK012346|MLB54220685,MLB7111714526,"[""MLB7111714526"",""MLB4880526301""]",49.55,28.77,"{""MLB7111714526"":200,""MLB4880526301"":200}",2026-09-05T01:01:44.906Z,"{""MLB7111714526"":28.77,""MLB4880526301"":28.77}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
