sku,pricing_group_id,product_name,ml_item_ids,exclusion_reasons,current_price,current_margin_pct,visits_150d,sales_150d,has_promotion,has_quantity_pricing,has_ml_price_automation,evidence
VTK012453,VTK012453|MLB4857625911,Cabo 2 Rca Transparente 01m Automotivo Storm,"[""MLB4857625911""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",48.43,38.0222,6,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK012298,VTK012298|MLB4857625759,Cabo Usb A Macho Para Usb B Macho 2.0 3m Storm,"[""MLB4857625759""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",51,35.9358,10,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK000256,VTK000256|MLB22368278,"Cabo Adaptador Serial RS-232 x USB A Macho 0,8m CBUS0016 Preto Storm","[""MLB7149373354"",""MLB4857624541""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",52.26,33.8483,9,0,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB4857624541""]},""offer_source"":""automatic"",""target_error"":null}"
VTK003190,VTK003190|MLB4857637411,Video Balun VDBL0001 Storm,"[""MLB4857637411""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",55.29,32.889,6,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK000201,VTK000201|MLB4857637045,Conversor HDMI x VGA Com Áudio Branco Storm,"[""MLB4857637045""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",55.3,32.8792,9,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK003650,VTK003650|MLB7111713532,Cabo 2RCA X 2RCA 5m Injetado Storm,"[""MLB7111713532""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",55.91,32.4851,7,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK021130,VTK021130|MLB4965927843,Controle Remoto Mxt 01347 Tv Led Lg Akb 75095308,"[""MLB4965927843""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",56.35,31.7503,6,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK006576,VTK006576|MLB4857635801,Chave Anti Vandalismo Led Azul On/Off Prata Storm,"[""MLB4857635801""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",63.27,28.3371,6,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK018130,VTK018130|MLB7311575302,Sirene Bitonal Fks 12v Preta,"[""MLB7311575302""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",59.35,27.9636,8,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK017959,VTK017959|MLB7332760652,Cabo De áudio Tcw 1 Rca Fêmea + 2 Rca Macho 4mm Com 10 Peças,"[""MLB7332760652""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",64.22,27.8621,9,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK018118,VTK018118|MLB36922061,Refil De Tinta Magenta Multilaser Epson T664 100ml,"[""MLB4942212903"",""MLB4937563951""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",61.73,27.1463,10,0,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB4937563951""]},""offer_source"":""automatic"",""target_error"":null}"
VTK017885,VTK017885|MLB4981504807,Termopar Tipo K Minipa Mtk-01 Com Blister,"[""MLB4981504807""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",61.84,27.0972,8,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK017751,VTK017751|MLB7311573580,Fonte Chaveada 6v 1a Plug P4 C+ 2.1 X 5.5 Mm,"[""MLB7311573580""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",57.94,27.0339,6,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK003102,VTK003102|MLB7111711922,"Garra de Jacaré 15,5cm 500A GRJC0021 Vermelho Storm - PCT / 2","[""MLB7111711922""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",67.13,26.5099,7,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK003191,VTK003191|MLB4857623165,"Garra de Jacaré 15,5cm 500A GRJC0022 Preto Storm - PCT / 2","[""MLB4857623165""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",67.13,26.5099,21,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK017456,VTK017456|MLB7332785636,Cabo Y Rca Blindado Nwt 1mx2f 20cm - Azul,"[""MLB7332785636""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",66.35,26.3199,14,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK002875,VTK002875|MLB35892706,"Pilha Alcalina 1,5V C (C/2 Pilhas) Panasonic - CAR / 2","[""MLB4886661521"",""MLB4857635903""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",63.21,26.2725,29,1,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB4857635903""]},""offer_source"":""automatic"",""target_error"":null}"
VTK001211,VTK001211|MLB4857623001,Plug Jack Cannon Fêmea Metálico Preto Storm - PCT / 5,"[""MLB4857623001""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",67.68,26.2674,6,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK018231,VTK018231|MLB7239066650,Resistencia Para Ferro De Solda Hikari Power 30 127v Conjunto 2 Peças,"[""MLB7239066650""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",63.99,26.0406,8,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK004940,VTK004940|MLB4937552207,Patch Cord Cat6 10m Azul PlusCable,"[""MLB4937552207""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",69.29,25.0118,6,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK018566,VTK018566|MLB7332762800,Controle Remoto Original Para Smart Box Stv-3000 Ace-stv30-cnt,"[""MLB7332762800""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",70.71,24.4343,7,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK012651,VTK012651|MLB4857635575,Calculadora Mesa Visor 12 Dig. - Verde Mv4126 Elgin,"[""MLB4857635575""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",68.24,24.1503,24,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK003188,VTK003188|MLB7111710272,Plug RCA Com Mola Niquel PGRC0024 Storm - PCT / 10,"[""MLB7111710272""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",73.51,23.9248,9,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK017371,VTK017371|MLB7332095162,Teclado Evus Tc-04 Multimidia Abnt2,"[""MLB7332095162""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",68.91,23.8725,7,1,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK018075,VTK018075|MLB7238889012,Antena Digital Interna Slim Aquário Dtv-250,"[""MLB7238889012""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",72.56,23.6925,18,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK012683,VTK012683|MLB24275598,Correia Qr V 04 Basso,"[""MLB4880581737"",""MLB7111664314""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",74.2,23.6702,6,0,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB7111664314""]},""offer_source"":""automatic"",""target_error"":null}"
VTK018090,VTK018090|MLB36507266,Ponta Fenda Para Ferro De Solda Hikari Hk Plus Sc-40 Com 4 Peças,"[""MLB5048998199"",""MLB4937563737""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",76.9,22.8996,8,0,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB4937563737""]},""offer_source"":""automatic"",""target_error"":null}"
VTK017781,VTK017781|MLB7332773180,Cabo Y Rca Blindado Nwt 1mx2f 20cm - Vermelho,"[""MLB7332773180""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",76.43,22.8893,15,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
