sku,pricing_group_id,origin_ml_item_id,ml_item_ids,current_price,experimental_price,sync_confirmed
VTK012344,VTK012344|MLB7111714880,MLB7111714880,"[""MLB7111714880""]",45.17,23.76,true
VTK012481,VTK012481|MLB4857626123,MLB4857626123,"[""MLB4857626123""]",45.77,24.74,true
VTK012271,VTK012271|MLB4857626107,MLB4857626107,"[""MLB4857626107""]",46.1,24.82,true
VTK012412,VTK012412|MLB22343812,MLB4857627495,"[""MLB4857627495"",""MLB7149338600""]",43.68,22.06,true
VTK012177,VTK012177|MLB39242918,MLB4857639801,"[""MLB7149371294"",""MLB4857639801""]",43.82,22.22,true
VTK012316,VTK012316|MLB20628909,MLB4857638159,"[""MLB7149337398"",""MLB4857638159""]",48.61,27.7,true
VTK012346,VTK012346|MLB54220685,MLB7111714526,"[""MLB7111714526"",""MLB4880526301""]",49.55,28.77,true
VTK012028,VTK012028|MLB16236951,MLB4857626165,"[""MLB4857626165"",""MLB7313984020""]",46.93,26.98,true
VTK012208,VTK012208|MLB26242562,MLB7111714314,"[""MLB7149273758"",""MLB7111714314""]",50.46,30.09,true
VTK012507,VTK012507|MLB75104651,MLB4857625681,"[""MLB7149338770"",""MLB4857625681""]",50.61,29.98,true
VTK012345,VTK012345|MLB21465199,MLB4857625685,"[""MLB4857625685"",""MLB4886661609""]",51.26,30.72,true
VTK012126,VTK012126|MLB36777223,MLB4857637599,"[""MLB4880590401"",""MLB4857637599""]",52.57,32.65,true
VTK002430,VTK002430|MLB35749153,MLB4857624969,"[""MLB4857624969"",""MLB7149373024""]",52.82,32.51,true
VTK012451,VTK012451|MLB35276021,MLB7111713758,"[""MLB4880526513"",""MLB7111713758""]",53.7,33.51,true
VTK003606,VTK003606|MLB23159703,MLB4857624907,"[""MLB7149338946"",""MLB4857624907""]",54.74,34.71,true
VTK012174,VTK012174|MLB39460659,MLB7111713750,"[""MLB4880526541"",""MLB7111713750""]",55.55,35.63,true
VTK012104,VTK012104|MLB36351600,MLB7111716064,"[""MLB7111716064"",""MLB5079124601""]",34.07,21.98,true
VTK000060,VTK000060|MLB20580728,MLB4857637125,"[""MLB4857637125"",""MLB7157760958""]",56.5,36.72,true
VTK003622,VTK003622|MLB25948660,MLB4857624585,"[""MLB4857624585"",""MLB7149339142""]",57.39,37.74,true
VTK002271,VTK002271|MLB22490340,MLB4857635411,"[""MLB4880591245"",""MLB4857635411""]",57.87,38.28,true
VTK003213,VTK003213|MLB57351740,MLB4857637215,"[""MLB7149371848"",""MLB4857637215""]",53.9,35.79,true
VTK001624,VTK001624|MLB21603461,MLB4857636931,"[""MLB7313979440"",""MLB4857636931""]",58.9,39.46,true
VTK017853,VTK017853|MLB32476732,MLB4994952921,"[""MLB7381240378"",""MLB4994952921""]",61.19,40.24,true
VTK012068,VTK012068|MLB20312085,MLB4857637203,"[""MLB4857637203"",""MLB5079124789""]",57.96,38.96,true
