sku,pricing_group_id,current_price,supplier_cost,fee_amount,shipping_amount,tax_rate,current_profit,current_margin_pct,experimental_price,experimental_profit,experimental_margin_pct,target_margin_pct,price_band
VTK012344,VTK012344|MLB7111714880,45.17,4.09,3.09,12.95,0.082799,18.52,40.9959,23.76,1.66,7.0029,7.000000000000001,
VTK012481,VTK012481|MLB4857626123,45.77,5.04,2.97,12.95,0.082799,18.5,40.4149,24.74,1.73,7.0039,7.000000000000001,
VTK012271,VTK012271|MLB4857626107,46.1,4.85,3.23,12.95,0.082799,18.49,40.1084,24.82,1.74,7.0037,7.000000000000001,
VTK012412,VTK012412|MLB22343812,43.68,2.87,2.87,12.95,0.082799,18.56,42.5022,22.06,1.55,7.0066,7.000000000000001,BELOW_200
VTK012177,VTK012177|MLB39242918,43.82,2.98,2.89,12.95,0.082799,18.57,42.3668,22.22,1.56,7.0279,7.000000000000001,BELOW_200
VTK012109,VTK012109|MLB7111714706,46.43,5.59,3.06,12.95,0.082799,18.47,39.789,25.5,1.79,7.0142,7.000000000000001,BELOW_200
VTK012315,VTK012315|MLB4857638231,47.23,5.78,3.4,12.95,0.082799,18.45,39.0631,26.12,1.83,7.0126,7.000000000000001,BELOW_200
VTK012453,VTK012453|MLB4857625911,48.43,6.76,3.57,12.95,0.082799,18.41,38.0222,27.49,1.93,7.0213,7.000000000000001,BELOW_200
VTK012316,VTK012316|MLB20628909,48.61,6.91,3.6,12.95,0.082799,18.41,37.8643,27.7,1.95,7.0233,7.000000000000001,BELOW_200
VTK012207,VTK012207|MLB7111713960,48.65,7.43,3.36,12.95,0.082799,18.4,37.829,28.03,1.97,7.0123,7.000000000000001,BELOW_200
VTK012346,VTK012346|MLB54220685,49.55,7.68,3.74,12.95,0.082799,18.38,37.0854,28.77,2.02,7.0135,7.000000000000001,BELOW_200
VTK012028,VTK012028|MLB16236951,46.93,6.13,3.78,12.95,0.082799,17.39,37.0638,26.98,1.89,7.001,7.000000000000001,BELOW_200
VTK000401,VTK000401|MLB4857625795,50.34,8.33,3.86,12.95,0.082799,18.35,36.4476,29.68,2.08,7.022,7.000000000000001,BELOW_200
VTK012208,VTK012208|MLB26242562,50.46,7.43,3.61,14.45,0.082799,18.35,36.359,30.09,2.11,7.0049,7.000000000000001,BELOW_200
VTK012507,VTK012507|MLB75104651,50.61,8.55,3.9,12.95,0.082799,18.34,36.2384,29.98,2.1,7.0056,7.000000000000001,BELOW_200
VTK012298,VTK012298|MLB4857625759,51,8.87,3.96,12.95,0.082799,18.33,35.9358,30.43,2.13,7.0145,7.000000000000001,BELOW_200
VTK012345,VTK012345|MLB21465199,51.26,9.08,3.99,12.95,0.082799,18.32,35.7431,30.72,2.15,7.0079,7.000000000000001,BELOW_200
VTK002685,VTK002685|MLB4857625615,51.63,9.9,3.77,12.95,0.082799,18.31,35.4629,31.43,2.21,7.0189,7.000000000000001,BELOW_200
VTK012126,VTK012126|MLB36777223,52.57,10.95,3.75,12.95,0.082799,18.27,34.7569,32.65,2.29,7.0195,7.000000000000001,BELOW_200
VTK002430,VTK002430|MLB35749153,52.82,10.36,4.23,12.95,0.082799,18.27,34.5891,32.51,2.28,7.0191,7.000000000000001,BELOW_200
VTK012479,VTK012479|MLB4857637573,53.23,10.7,4.29,12.95,0.082799,18.25,34.2903,32.98,2.31,7.01,7.000000000000001,BELOW_200
VTK012452,VTK012452|MLB4857624913,53.3,10.76,4.3,12.95,0.082799,18.25,34.236,33.06,2.31,7.002,7.000000000000001,BELOW_200
VTK012451,VTK012451|MLB35276021,53.7,11.08,4.36,12.95,0.082799,18.24,33.9715,33.51,2.35,7.0102,7.000000000000001,BELOW_200
VTK000256,VTK000256|MLB22368278,52.26,10.5,4.25,12.95,0.082799,17.69,33.8483,32.7,2.29,7.0076,7.000000000000001,BELOW_200
VTK003140,VTK003140|MLB4857625235,54.66,10.97,4.5,13.85,0.082799,18.21,33.3121,34.61,2.43,7.0067,7.000000000000001,BELOW_200
VTK003606,VTK003606|MLB23159703,54.74,11.94,4.51,12.95,0.082799,18.2,33.2506,34.71,2.43,7.0117,7.000000000000001,BELOW_200
VTK003146,VTK003146|MLB7111713568,54.81,12.19,3.89,13.85,0.082799,18.2,33.2105,35.33,2.48,7.015,7.000000000000001,BELOW_200
VTK004180,VTK004180|MLB7111713682,55.1,12.23,4.56,12.95,0.082799,18.19,33.0214,35.11,2.46,7.0026,7.000000000000001,BELOW_200
VTK003190,VTK003190|MLB4857637411,55.29,10.89,4.59,14.45,0.082799,18.18,32.889,35.34,2.48,7.0166,7.000000000000001,BELOW_200
VTK000201,VTK000201|MLB4857637045,55.3,12.4,4.6,12.95,0.082799,18.18,32.8792,35.35,2.48,7.0086,7.000000000000001,BELOW_200
VTK000364,VTK000364|MLB7111713696,55.43,12.5,4.61,12.95,0.082799,18.18,32.8063,35.49,2.49,7.0098,7.000000000000001,BELOW_200
VTK012174,VTK012174|MLB39460659,55.55,12.6,4.63,12.95,0.082799,18.18,32.7255,35.63,2.5,7.0109,7.000000000000001,BELOW_200
VTK003650,VTK003650|MLB7111713532,55.91,12.9,4.69,12.95,0.082799,18.16,32.4851,36.05,2.53,7.0141,7.000000000000001,BELOW_200
VTK012104,VTK012104|MLB36351600,34.07,2.81,2.86,12.95,0.082799,11.06,32.4624,21.98,1.54,7.0186,7.000000000000001,BELOW_200
VTK012131,VTK012131|MLB7111713652,53.29,10.45,4.81,13.85,0.082799,17.12,32.1206,34.37,2.41,7.0189,7.000000000000001,BELOW_200
VTK000060,VTK000060|MLB20580728,56.5,13.38,4.77,12.95,0.082799,18.15,32.1183,36.72,2.58,7.0153,7.000000000000001,BELOW_200
VTK021130,VTK021130|MLB4965927843,56.35,10.7,6.38,12.95,0.082799,17.89,31.7503,35.45,2.48,7.0064,7.000000000000001,BELOW_200
VTK012433,VTK012433|MLB4857637065,57.12,13.89,4.87,12.95,0.082799,18.12,31.7313,37.43,2.62,7.0129,7.000000000000001,BELOW_200
VTK012012,VTK012012|MLB4857637259,57.26,14,4.89,12.95,0.082799,18.13,31.6541,37.58,2.63,7.0064,7.000000000000001,BELOW_200
