sequence,batch,ml_item_id,sku_anterior,sku_novo,seller_custom_field_anterior
0,0,MLB6649110350,HYX84137,VTK000719,
0,0,MLB6646508218,HYX83672,VTK000730,
0,0,MLB4585691579,HYX84969,VTK000807,
0,0,MLB4622930451,HYX85567,VTK000825,
0,0,MLB6682470600,HYX84980,VTK000850,
0,0,MLB6573142048,HYX84483,VTK000865,
0,0,MLB6573128558,HYX84978,VTK000886,
0,0,MLB6646381020,HYX84917,VTK000897,
0,0,MLB6565484120,HYX86772,VTK000903,
0,0,MLB4582569547,HYX86271,VTK000909,
0,0,MLB6619304628,HYX86949,VTK000979,
0,0,MLB4582546217,HYX86270,VTK000984,
0,0,MLB4612599843,HYX87543,VTK001002,
0,0,MLB6563508286,HYX87723,VTK001099,
0,0,MLB6655134272,HYX87812,VTK001160,
0,0,MLB6573142252,HYX87438,VTK001216,
0,0,MLB6646508274,HYX84038,VTK001231,
0,0,MLB6573141530,HYX87816,VTK001234,
0,0,MLB6646469628,HYX84607,VTK001272,
0,0,MLB4585898067,HYX84361,VTK001293,
0,0,MLB6650868306,HYX83028,VTK001314,
0,0,MLB4585868485,HYX84078,VTK001316,
0,0,MLB6572993150,HYX86246,VTK001345,
0,0,MLB6573107384,HYX86183,VTK001376,
0,0,MLB6573153884,HYX86354,VTK001394,
0,0,MLB6649085110,HYX87813,VTK001400,
0,0,MLB6573106866,HYX86245,VTK001493,
0,0,MLB6646508266,HYX84813,VTK001500,
0,0,MLB6573252202,HYX78883,VTK004508,
0,0,MLB4585912283,HYX79349,VTK004663,
0,0,MLB4585898231,HYX82811,VTK005650,
0,0,MLB6573115898,HYX82998,VTK005682,
0,0,MLB6563336144,HYX82999,VTK005700,
0,0,MLB6573143510,HYX84076,VTK005907,
0,0,MLB4585898339,HYX84083,VTK005921,
0,0,MLB6573143552,HYX83997,VTK005922,
0,0,MLB6573117190,HYX84087,VTK005941,
0,0,MLB6573117496,HYX84059,VTK005944,
0,0,MLB6573098420,HYX83991,VTK005976,
0,0,MLB6573107920,HYX84065,VTK006000,
0,0,MLB6618198782,HYX84365,VTK006007,
0,0,MLB6573221508,HYX84360,VTK006031,
0,0,MLB6573098442,HYX84563,VTK006033,
0,0,MLB6573117416,HYX84387,VTK006085,
0,0,MLB6655134160,HYX85096,VTK006153,
0,0,MLB6573116886,HYX84823,VTK006168,
0,0,MLB6573153914,HYX84886,VTK006190,
0,0,MLB4585727511,HYX85276,VTK006229,
0,0,MLB6646469162,HYX85278,VTK006283,
0,0,MLB6573085684,HYX86130,VTK006354,
0,0,MLB6573085840,HYX85845,VTK006369,
0,0,MLB4582542611,HYX86953,VTK006416,
0,0,MLB6563432358,HYX86680,VTK006488,
