sequence,batch,ml_item_id,sku_anterior,sku_novo,sku_verificado,seller_custom_field_verificado,status,http_status,error
0,0,MLB6649110350,HYX84137,VTK000719,VTK000719,,success,200,
0,0,MLB6646508218,HYX83672,VTK000730,VTK000730,,success,200,
0,0,MLB4585691579,HYX84969,VTK000807,VTK000807,,success,200,
0,0,MLB4622930451,HYX85567,VTK000825,VTK000825,,success,200,
0,0,MLB6682470600,HYX84980,VTK000850,VTK000850,,success,200,
0,0,MLB6573142048,HYX84483,VTK000865,VTK000865,,success,200,
0,0,MLB6573128558,HYX84978,VTK000886,VTK000886,,success,200,
0,0,MLB6646381020,HYX84917,VTK000897,VTK000897,,success,200,
0,0,MLB6565484120,HYX86772,VTK000903,VTK000903,,success,200,
0,0,MLB4582569547,HYX86271,VTK000909,VTK000909,,success,200,
0,0,MLB6619304628,HYX86949,VTK000979,VTK000979,,success,200,
0,0,MLB4582546217,HYX86270,VTK000984,VTK000984,,success,200,
0,0,MLB4612599843,HYX87543,VTK001002,VTK001002,,success,200,
0,0,MLB6563508286,HYX87723,VTK001099,VTK001099,,success,200,
0,0,MLB6655134272,HYX87812,VTK001160,VTK001160,,success,200,
0,0,MLB6573142252,HYX87438,VTK001216,VTK001216,,success,200,
0,0,MLB6646508274,HYX84038,VTK001231,VTK001231,,success,200,
0,0,MLB6573141530,HYX87816,VTK001234,VTK001234,,success,200,
0,0,MLB6646469628,HYX84607,VTK001272,VTK001272,,success,200,
0,0,MLB4585898067,HYX84361,VTK001293,VTK001293,,success,200,
0,0,MLB6650868306,HYX83028,VTK001314,VTK001314,,success,200,
0,0,MLB4585868485,HYX84078,VTK001316,VTK001316,,success,200,
0,0,MLB6572993150,HYX86246,VTK001345,VTK001345,,success,200,
0,0,MLB6573107384,HYX86183,VTK001376,VTK001376,,success,200,
0,0,MLB6573153884,HYX86354,VTK001394,VTK001394,,success,200,
0,0,MLB6649085110,HYX87813,VTK001400,VTK001400,,success,200,
0,0,MLB6573106866,HYX86245,VTK001493,VTK001493,,success,200,
0,0,MLB6646508266,HYX84813,VTK001500,VTK001500,,success,200,
0,0,MLB6573252202,HYX78883,VTK004508,VTK004508,,success,200,
0,0,MLB4585912283,HYX79349,VTK004663,VTK004663,,success,200,
0,0,MLB4585898231,HYX82811,VTK005650,VTK005650,,success,200,
0,0,MLB6573115898,HYX82998,VTK005682,VTK005682,,success,200,
0,0,MLB6563336144,HYX82999,VTK005700,VTK005700,,success,200,
0,0,MLB6573143510,HYX84076,VTK005907,VTK005907,,success,200,
0,0,MLB4585898339,HYX84083,VTK005921,VTK005921,,success,200,
0,0,MLB6573143552,HYX83997,VTK005922,VTK005922,,success,200,
0,0,MLB6573117190,HYX84087,VTK005941,VTK005941,,success,200,
0,0,MLB6573117496,HYX84059,VTK005944,VTK005944,,success,200,
0,0,MLB6573098420,HYX83991,VTK005976,VTK005976,,success,200,
0,0,MLB6573107920,HYX84065,VTK006000,VTK006000,,success,200,
0,0,MLB6618198782,HYX84365,VTK006007,VTK006007,,success,200,
0,0,MLB6573221508,HYX84360,VTK006031,VTK006031,,success,200,
0,0,MLB6573098442,HYX84563,VTK006033,VTK006033,,success,200,
0,0,MLB6573117416,HYX84387,VTK006085,VTK006085,,success,200,
0,0,MLB6655134160,HYX85096,VTK006153,VTK006153,,success,200,
0,0,MLB6573116886,HYX84823,VTK006168,VTK006168,,success,200,
0,0,MLB6573153914,HYX84886,VTK006190,VTK006190,,success,200,
0,0,MLB4585727511,HYX85276,VTK006229,VTK006229,,success,200,
0,0,MLB6646469162,HYX85278,VTK006283,VTK006283,,success,200,
0,0,MLB6573085684,HYX86130,VTK006354,VTK006354,,success,200,
0,0,MLB6573085840,HYX85845,VTK006369,VTK006369,,success,200,
0,0,MLB4582542611,HYX86953,VTK006416,VTK006416,,success,200,
0,0,MLB6563432358,HYX86680,VTK006488,VTK006488,,success,200,
