sku,identidade_antes,identidade_depois,conflito_antes,conflito_depois,motivos_antes,motivos_depois,avisos,vinculo,fila,regra
VTK018924,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PRONTOS_PARA_ANALISE,M2M-IDENTITY-v2.1
VTK017284,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK018779,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK017675,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK018412,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK018343,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK018405,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK018564,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK018402,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK018538,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK018319,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK017249,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
VTK002091,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,SEM_CONFLITO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,EXPLORATORIOS,M2M-IDENTITY-v2.1
