sku,produto,fornecedor,custo,estoque,revisado_65,anterior,fila,etapa,identidade,conflito,economia,demanda,preco_competitivo,preco_piso,preco_alvo,break_even,margem_competitiva_pct,contribuicao,tributo_pct,tributo_status,recuperado_piso_10,motivos,avisos,revisao_identidade_previa,recomendacao,fonte,avaliado_em
VTK018924,Telefone Celular Fixo Intelbras Gsm Cfa 4211 4114211,Evolusom Comercial Ltda,362.9,4,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,PRONTOS_PARA_ANALISE,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SINAL_INDIRETO,803.64,547.68,570.94,500.19,30.47882136,244.94,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Intelbras CFA 4211, kit telefone fixo GSM, preto; modelo confirmado na descrição do fornecedor.",Analisar sinal indireto e completar preparação,mercado/VTK018924.json,2026-09-05T15:16:37.457Z
VTK005172,Ponta de Prova Minipa MTL24,Evolusom Comercial Ltda,66.4,16,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,PRONTOS_PARA_ANALISE,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SINAL_INDIRETO,139.83,111.57,114.64,104.56,20.11013373,28.12,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Descrição do fornecedor identifica MTL-24A, confirmando o sufixo A ausente no título local abreviado.",Analisar sinal indireto e completar preparação,mercado/VTK005172.json,2026-09-05T15:16:37.457Z
VTK018303,"Corda Giannini Para Contrabaixo Geebrs 6 0.032"" Pesado",Evolusom Comercial Ltda,100.5,10,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,PRONTOS_PARA_ANALISE,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SINAL_INDIRETO,175,158.96,163.28,149.03,11.90857143,20.84,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Giannini GEEBRS/6 pesado .032, jogo para baixo de seis cordas; seis cordas por encordoamento, não seis jogos.",Analisar sinal indireto e completar preparação,mercado/VTK018303.json,2026-09-05T15:16:37.457Z
VTK012944,Correia Vt Sl 82 Cafe Floral Basso,BKR 1 Comercio e Importação Ltda,71.33,6,TRUE,FORA_DO_PISO_COMPETITIVO,PRONTOS_PARA_ANALISE,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_ACIMA_DO_PISO,SINAL_INDIRETO,120.07,118.96,122.21,111.55,5.688348463,6.83,8.279935224,estimated,TRUE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Basso VT SL 82, café floral, correia de couro; descrição do fornecedor confirma modelo e acabamento.",Analisar sinal indireto e completar preparação,mercado/VTK012944.json,2026-09-05T15:16:37.457Z
VTK000129,Par de Caixa Som Ambiente JBL C621P 50W Preto - PAR / 2,Evolusom Comercial Ltda,899.9,50,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_INCONCLUSIVA,INCONCLUSIVO,INCONCLUSIVO,RANKING_ML,839,,,,,,8.279935224,estimated,FALSE,EVIDENCIA_IDENTIDADE_INCOMPLETA; COMPOSICAO_KIT_NAO_COMPROVADA; REATIVACAO_CANDIDATA; INCONCLUSIVO,,,Revisar reativação do anúncio existente,mercado/VTK000129.json,2026-09-05T15:16:37.457Z
VTK001031,Panela Elétrica Agratto PA10X Riso 127v,Evolusom Comercial Ltda,124.9,50,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,RANKING_ML,157,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK001031.json,2026-09-05T15:16:37.457Z
VTK002002,Ventilador de Mesa Ventisol Turbo 6 40cm Preto/Cinza 127v,Evolusom Comercial Ltda,114.9,50,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,RANKING_ML,135.93,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK002002.json,2026-09-05T15:16:37.457Z
VTK017198,Limpa Contato Implastec 130g Aerosol,Evolusom Comercial Ltda,11.5,50,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,RANKING_ML,22.19,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK017198.json,2026-09-05T15:16:37.457Z
VTK021001,"Alto Falante Pioneer 6x9"" Ts-6960br 200rms Par",Evolusom Comercial Ltda,225.99,20,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,RANKING_ML,225,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,,,Revisar reativação do anúncio existente,mercado/VTK021001.json,2026-09-05T15:16:37.457Z
VTK021012,Telefone Intelbras Gondola Tc-20 Preto Com Fio 4090401,Evolusom Comercial Ltda,38.9,16,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,RANKING_ML,48.29,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK021012.json,2026-09-05T15:16:37.457Z
