"SKU";"Produto";"Categoria ML";"Atributos obrigatórios";"GTIN obrigatório";"Status"
"VTK015922";"02 Baterias 2CR5 6v Panasonic";"MLB7051";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015924";"";"MLB431681";"Nenhum";"NÃO";"Pode publicar quando houver estoque/imagem"
"VTK015925";"10 Baterias Alcalinas 12v Lrv08 Panasonic (10 Cartelas)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015926";"10 Baterias Alcalinas 12v Panasonic Lrv08-1b";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015927";"10 Baterias Alcalinas 9v Panasonic";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015934";"10 Baterias Cr2025 Panasonic (2 Cart)";"MLB7051";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015936";"10 Baterias Cr2032 Panasonic (2 Cart)";"MLB7051";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015937";"";"MLB431681";"Nenhum";"NÃO";"Pode publicar quando houver estoque/imagem"
"VTK015938";"10 Pilhas Alcalinas Aa Panasonic (5 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015939";"10 Pilhas Alcalinas Aaa Panasonic (5 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015940";"10 Pilhas Alcalinas C Panasonic (5  Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015941";"10 Pilhas Alcalinas D Panasonic (5  Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015942";"10 Pilhas Alcalinas Premium Aa Panasonic (5 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015943";"10 Pilhas Alcalinas Premium Aaa Panasonic (5 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015944";"10 Pilhas Comum D Panasonic (5 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015945";"10 Pilhas Recarregaveis Eneloop Pro Aa Panasonic (5 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015946";"10 Pilhas Recarregaveis Eneloop Pro Aaa Panasonic (5 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015947";"10 Pilhas Recarregaveis Eneloop Std Aa Panasonic (5 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015948";"10 Pilhas Recarregaveis Eneloop Std Aaa Panasonic (5 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015949";"10 Tubos Pilha Comum Aa C/52un Cada Panasonic";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015950";"10 Tubos Pilha Comum Aaa C/40un Cada";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015951";"100 Baterias Alcalinas 12v Panasonic Lr-V08-1bt (10 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015952";"100 Baterias Alcalinas 9v Panasonic";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015953";"100 Pilhas Baterias Cr2032 3v Panasonic 20 Cartelas";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015954";"12 Pilhas Alcalinas Aa Panasonic (2 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015955";"12 Pilhas Alcalinas Aa Panasonic (3 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015956";"12 Pilhas Alcalinas Aa Panasonic (6 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015957";"12 Pilhas Alcalinas Aaa Panasonic (2 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015958";"12 Pilhas Alcalinas Aaa Panasonic (3 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015959";"12 Pilhas Alcalinas Aaa Panasonic (6 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015960";"12 Pilhas Alcalinas C Panasonic (6  Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015961";"12 Pilhas Alcalinas D Panasonic (6  Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015962";"12 Pilhas Alcalinas Premium Aa Panasonic (2 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015963";"12 Pilhas Alcalinas Premium Aa Panasonic (3 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015964";"12 Pilhas Alcalinas Premium Aa Panasonic (6 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015965";"12 Pilhas Alcalinas Premium Aaa Panasonic (2 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK015966";"12 Pilhas Alcalinas Premium Aaa Panasonic (3 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
