"SKU";"Produto";"Categoria ML";"Impedimento ML";"GTIN obrigatório"
"VTK015922";"02 Baterias 2CR5 6v Panasonic";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015925";"10 Baterias Alcalinas 12v Lrv08 Panasonic (10 Cartelas)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015926";"10 Baterias Alcalinas 12v Panasonic Lrv08-1b";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015927";"10 Baterias Alcalinas 9v Panasonic";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015934";"10 Baterias Cr2025 Panasonic (2 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015936";"10 Baterias Cr2032 Panasonic (2 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015938";"10 Pilhas Alcalinas Aa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015939";"10 Pilhas Alcalinas Aaa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015940";"10 Pilhas Alcalinas C Panasonic (5  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015941";"10 Pilhas Alcalinas D Panasonic (5  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015942";"10 Pilhas Alcalinas Premium Aa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015943";"10 Pilhas Alcalinas Premium Aaa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015944";"10 Pilhas Comum D Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015945";"10 Pilhas Recarregaveis Eneloop Pro Aa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015946";"10 Pilhas Recarregaveis Eneloop Pro Aaa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015947";"10 Pilhas Recarregaveis Eneloop Std Aa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015948";"10 Pilhas Recarregaveis Eneloop Std Aaa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015949";"10 Tubos Pilha Comum Aa C/52un Cada Panasonic";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015950";"10 Tubos Pilha Comum Aaa C/40un Cada";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015951";"100 Baterias Alcalinas 12v Panasonic Lr-V08-1bt (10 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015952";"100 Baterias Alcalinas 9v Panasonic";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015953";"100 Pilhas Baterias Cr2032 3v Panasonic 20 Cartelas";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015954";"12 Pilhas Alcalinas Aa Panasonic (2 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015955";"12 Pilhas Alcalinas Aa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015956";"12 Pilhas Alcalinas Aa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015957";"12 Pilhas Alcalinas Aaa Panasonic (2 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015958";"12 Pilhas Alcalinas Aaa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015959";"12 Pilhas Alcalinas Aaa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015960";"12 Pilhas Alcalinas C Panasonic (6  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015961";"12 Pilhas Alcalinas D Panasonic (6  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015962";"12 Pilhas Alcalinas Premium Aa Panasonic (2 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015963";"12 Pilhas Alcalinas Premium Aa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015964";"12 Pilhas Alcalinas Premium Aa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015965";"12 Pilhas Alcalinas Premium Aaa Panasonic (2 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015966";"12 Pilhas Alcalinas Premium Aaa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015967";"12 Pilhas Alcalinas Premium Aaa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015968";"12 Pilhas Comum Aa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015969";"12 Pilhas Comum Aaa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015970";"12 Pilhas Comum D Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015971";"12 Pilhas Recarregaveis Eneloop Pro Aa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015972";"12 Pilhas Recarregaveis Eneloop Pro Aaa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015973";"12 Pilhas Recarregaveis Eneloop Std Aa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015974";"12 Pilhas Recarregaveis Eneloop Std Aaa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015975";"14 Pilhas Alcalinas Aa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015976";"14 Pilhas Alcalinas Aaa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015977";"14 Pilhas Alcalinas C Panasonic (7  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015978";"14 Pilhas Alcalinas D Panasonic (7  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015979";"14 Pilhas Alcalinas Premium Aa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015980";"14 Pilhas Alcalinas Premium Aaa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015981";"14 Pilhas Comum D Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015982";"14 Pilhas Recarregaveis Eneloop Pro Aa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015983";"14 Pilhas Recarregaveis Eneloop Pro Aaa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015984";"14 Pilhas Recarregaveis Eneloop Std Aa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015985";"14 Pilhas Recarregaveis Eneloop Std Aaa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015990";"15 Baterias Cr2025 Panasonic (3 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015991";"15 Baterias Cr2032 Panasonic (3 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015992";"150 Pilhas Baterias Cr2032 3v Panasonic 30 Cartelas";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK015993";"16 Pilhas Alcalinas Aa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015994";"16 Pilhas Alcalinas Aa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015995";"16 Pilhas Alcalinas Aaa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015996";"16 Pilhas Alcalinas Aaa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015997";"16 Pilhas Alcalinas C Panasonic (8  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015998";"16 Pilhas Alcalinas D Panasonic (8  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK015999";"16 Pilhas Alcalinas Premium Aa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016000";"16 Pilhas Alcalinas Premium Aa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016001";"16 Pilhas Alcalinas Premium Aaa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016002";"16 Pilhas Alcalinas Premium Aaa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016003";"16 Pilhas Comum Aa Panasonic (2 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
