SKU	PRODUTO	DOMINIO	CATEGORIA	CAMINHO
VTK002550	Pedestal Com Bandeja Multiuso BMU Preto ASK	MLB-SPEAKERS_STANDS	MLB10233	Eletrônicos, Áudio e Vídeo > Áudio > Suportes para Caixas de Som
VTK002792	Detector Óptico de Fumaça 12V/24V SEGURIMAX	MLB-GAS_DETECTORS	MLB277840	Indústria e Comércio > Segurança Laboral > Detectores de Gases
VTK003270	Interruptor Inteligente 1 Tecla Wi-Fi SE235 Branco MULTILASER	MLB-DIMMERS	MLB269928	Construção > Energia > Tomadas e Interruptores > Interruptores > Dimmers
VTK004115	Suporte Magnético Para Antena Móvel PX M-700K Preto AQUÁRIO	MLB-VEHICLE_CELLPHONE_AND_GPS_MOUNTS	MLB58500	Celulares e Telefones > Acessórios para Celulares > Colgantes e Suportes > Suportes Veiculares
VTK005357	Alto-Falante 5" JBL Multisystem 5TRMS80 (PAR)	MLB-VEHICLE_STEREOS_AND_SPEAKERS_KITS	MLB443814	Acessórios para Veículos > Som Automotivo > Reprodutores > Kits de Estéreo e Alto-Falante
VTK017159	Bucha Para Alto Falante Original Permak Palio 237/c	MLB-VEHICLE_STEREOS_AND_SPEAKERS_KITS	MLB443814	Acessórios para Veículos > Som Automotivo > Reprodutores > Kits de Estéreo e Alto-Falante
VTK017185	Plug Santo Angelo P10 Ninja Estéreo Com Mola Níquel	MLB-AUDIO_AND_VIDEO_CONNECTORS	MLB420707	Eletrônicos, Áudio e Vídeo > Áudio > Equipamento para DJs > Acessórios > Conectores
VTK017211	Suporte Para Microfone De Bateria/precussão Ask B10	MLB-MICROPHONE_STANDS	MLB439386	Eletrônicos, Áudio e Vídeo > Áudio > Microfones e Pré Amps. > Pés de Microfone
VTK017212	Cabo óptico Intelbras Plc 1x2 Nc Xfs 120 Com Divisor 4830013	MLB-NETWORK_CABLES	MLB431815	Eletrônicos, Áudio e Vídeo > Cabos > Cabos de Rede
VTK017236	Alto Falante 5" Pioneer Ts-1360br 100rms/ Par	MLB-VEHICLE_SPEAKERS	MLB3905	Acessórios para Veículos > Som Automotivo > Alto-Falantes
VTK017238	Detector De Temperatura 12/ 24v Segurimax Contato Seco	MLB-METAL_DETECTORS	MLB278141	Ferramentas > Ferramentas Elétricas > Detectores de Metais
VTK017246	Controle Remoto Copiar Hombrus 433mhz Code Learn 3 Botões	MLB-INDUSTRIAL_MACHINE_REMOTE_CONTROLS	MLB277529	Ferramentas > Ferramentas Industriais > Peças de Reposição > Controles Remotos
VTK017317	Mouse Pad Evus Mp-500b Pan	MLB-MOUSE_PADS	MLB1716	Informática > Periféricos para PC > Mouses e Teclados > Mouse Pads
VTK017391	Grampo Vonder 16mm Para Pinador Elétrico Com 1000 Grampos	MLB-ELECTRIC_STAPLERS_AND_BRAD_NAILERS	MLB430493	Ferramentas > Ferramentas Elétricas > Perfuração > Grampeadores e Pinadores
VTK017397	Trava Elétrica Roadstar 2 Fios Individual - Rs101br	MLB-VEHICLE_ELECTRIC_DOOR_LOCKS	MLB22369	Acessórios para Veículos > Segurança Veicular > Travas Elétricas
VTK017534	Reparo Jbl Selenium Rpd250-x Para Driver D250-x	MLB-VEHICLE_COMPRESSION_DRIVERS	MLB46559	Acessórios para Veículos > Som Automotivo > Drivers
VTK017577	Fone De Ouvido Para Radio Comunicador Intelbras Hc20pt 4161020	MLB-TELEPHONY_AND_RADIO_COMMUNICATION_PRODUCTS	MLB418302	Celulares e Telefones > Rádio Comunicadores > Acessórios > Fones
