SKU	PRODUTO	DOMINIO	CATEGORIA	CAMINHO
VTK005491	Cabo Display Port 1.2v Para DVI Fêmea Storm	MLB-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS	MLB431813	Eletrônicos, Áudio e Vídeo > Cabos > Cabos de Áudio e Vídeo
VTK005775	Cabo Display Port 1.2v Para USB- C Macho Storm	MLB-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS	MLB431830	Informática > Cabos e Hubs USB > Cabos > Cabos de Áudio e Vídeo
VTK017189	Reparo Para Driver Shock D-250 Selenium	MLB-VEHICLE_COMPRESSION_DRIVERS	MLB46559	Acessórios para Veículos > Som Automotivo > Drivers
VTK017215	Arandela Fiamon Sem Falante Redonda Branca 6"	MLB-VEHICLE_STEREOS_AND_SPEAKERS_KITS	MLB443814	Acessórios para Veículos > Som Automotivo > Reprodutores > Kits de Estéreo e Alto-Falante
VTK017244	Video Balun Evus C-067 1 Canal Mini Cctv Bnc Para Hdcvi Cftv	MLB-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS	MLB195961	Eletrônicos, Áudio e Vídeo > Acessórios para Áudio e Vídeo > Adaptadores
VTK017267	Controle Remoto Ar Condicionado Elgin Ecoplus Mxt	MLB-AIR_CONDITIONER_REMOTE_CONTROLS	MLB196072	Eletrodomésticos > Ar e Ventilação > Peças e Acessórios > Para Ar Condicionado > Controles Remotos
VTK017331	Cabo Vga Evus C-044 Hd15 Macho X Hd15 Macho Com Filtro 20,0m	MLB-AUDIO_AND_VIDEO_CONVERTERS	MLB421298	Eletrônicos, Áudio e Vídeo > Acessórios para Áudio e Vídeo > Conversores de Aúdio e Vídeo
VTK017336	Cabo De Microfone P10 Macho X Cannon Femea	MLB-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS	MLB72745	Instrumentos Musicais > Instrumentos de Corda > Acessórios > Cabos
VTK017347	Cabo Optico Splitter Evus Opf-plc1x16-nc250 Plc 1x16 Nc 1,5m G657a1	MLB-FIBER_OPTIC_SPLITTERS	MLB272149	Informática > Conectividade e Redes > Ferramentas > Montagem de Fibra Óptica > Splitters de Fibra Óptica
VTK017384	Cabo De Força Tripolar Megacabos 1,2m Tipo Mickey - Preto - PC / 5	MLB-POWER_CORDS	MLB9600	Informática > Cabos e Hubs USB > Cabos > Cabos de Energia
