"status","reason","supplier","sku","score"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK000039","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK000092","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK000216","35"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK000223","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK000301","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK000378","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK000392","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK000429","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK000504","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK000518","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK001195","35"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK001207","35"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK001246","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK001254","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK001258","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK001264","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK001277","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK001282","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK001288","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK004115","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK004505","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK004609","35"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK004630","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK004693","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK004724","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK005382","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK005397","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Hayamax","VTK005411","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK012281","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK012282","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK012283","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK012297","40"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK012301","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK012304","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK012310","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK012319","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK012320","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","BKR1","VTK012321","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017240","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017241","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017242","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017243","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017248","40"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017252","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017259","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017260","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017261","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017262","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017263","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017278","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017279","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017297","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017336","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017353","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017366","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017369","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017374","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017376","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017378","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017384","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017400","40"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017401","40"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017402","40"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017403","40"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017408","40"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017410","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017435","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017436","45"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017504","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017505","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017506","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017507","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017508","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017523","40"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017600","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017625","60"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017629","40"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017630","50"
"P0_MANUAL_IDENTITY","identidade_oficial_inconclusiva","Evolusom","VTK017633","60"
