"sku","produto_id","produto","fornecedor","estoque","margem","recommended_action","identity_confidence","remote_match_confidence","documentation_score","publication_readiness","duplicate_risk"
"VTK001572","b120e2a3-9262-4aac-bc9b-824d802612ac","Encordoamento Para Guitarra .009 Nanoweb 12027 Custom Light Elixir","HAYAMAX-PR","15","","MANUAL_IDENTITY","100","25","60","40","0"
"VTK001978","c65bc62f-8b77-4096-aead-8f3c4911e14c","Encordoamento Para Violão .010 Extra Light Phosphor Bronze Nanoweb 16002 Elixir","HAYAMAX-PR","15","","MANUAL_IDENTITY","100","11","60","40","0"
"VTK012362","d324cdae-edbc-4339-993d-5221668cb0dc","Palheta Tradicional 2,5 P/clarinete Sib Cr102,5 Vandoren Un","BKR1","18","","MANUAL_IDENTITY","100","2","60","40","0"
"VTK017668","d84b7ace-189f-4ab8-8f7c-9292491e5b9c","Combo Teclado E Mouse Logitech Mk120 Usb Preto Com Fio","EVOLUSOM-PR","11","","BLOCK_DUPLICATE","95","95","0","0","100"
"VTK017799","a409dfc4-18c0-431e-876e-b707ab358615","Mouse Logitech Silent M110 Usb Preto","EVOLUSOM-PR","4","20.00669957036571","BLOCK_DUPLICATE","100","100","100","85","100"
"VTK019033","f19c8241-8886-48f5-a842-2ac4093ac43d","Combo Teclado E Mouse Wireless Logitech Mk220 Usb Preto Sem Fio","EVOLUSOM-PR","50","","BLOCK_DUPLICATE","100","100","60","40","100"
"VTK021063","476bee08-d8ea-43db-bc1f-b07e4d59756a","Combo Teclado E Mouse Wireless Logitech Mk235 Compact Usb Preto Sem Fio","EVOLUSOM-PR","20","","BLOCK_DUPLICATE","100","95","60","40","100"
"VTK000378","bd099c71-e960-4e09-ae40-d616ea1968d6","Cadeira Ergonômica ThunderX3 Yama1 Ciano","HAYAMAX-PR","15","","MANUAL_IDENTITY","0","0","0","0","0"
"VTK000504","037a0d81-85b9-4458-9b07-148b399bb557","Mecanismo Sync6 Para Cadeira Core ThunderX3","HAYAMAX-PR","15","","MANUAL_IDENTITY","0","0","0","0","0"
"VTK000799","fc7e5495-fb06-47ca-8530-97a7187d0167","Cadeira Gamer ThunderX3 TGC12 Loft Cinza","HAYAMAX-PR","15","","MANUAL_IDENTITY","100","0","60","55","0"
"VTK001089","de613369-7204-430c-aa4a-c0ddf6a7a31d","Contrabaixo Giannini GB-100 Jazz Bass Elétrico Passivo Preto/Turtle","HAYAMAX-PR","15","","MANUAL_IDENTITY","100","0","60","70","0"
"VTK001119","28098ee5-7fbf-4d6c-b634-43e5bad60e7a","ASSENTO CAD THUNDER EC3 RS","HAYAMAX-PR","9","","SOURCE_DEFERRED","85","0","0","25","0"
"VTK001277","b3e91716-2b43-4ed1-9219-ca1c702d1c44","Super Mixer Agratto MXV-01 200W Vermelho 127v","HAYAMAX-PR","8","","MANUAL_IDENTITY","14","14","0","0","0"
