"sku","fornecedor","item_id","seller_sku","gtin","title","brand","model","catalog_product_id","user_product_id","variation_id","status","price","quantity","permalink","listing_type","catalog_listing","sold_quantity","health","local_sku","local_produto_id","linked_local_sku","linked_produto_id","current_produto_ml_item_id","anuncios_ml_produto_id","match_type","confidence"
"VTK001572","HAYAMAX-PR","MLB7287239546","VTK025248","733132120277","2 Jogos De Cordas 009 Custom Light Guitarra Nanoweb Elixir","Elixir","12027","MLB24034312","MLBU4484514675","","active","340.55","7","https://produto.mercadolivre.com.br/MLB-7287239546-2-jogos-de-cordas-009-custom-light-guitarra-nanoweb-elixir-_JM","gold_pro","false","0","","VTK001572","b120e2a3-9262-4aac-bc9b-824d802612ac","VTK025248","20070eb4-bc64-45aa-8ac6-157a41ada896","","20070eb4-bc64-45aa-8ac6-157a41ada896","NOT_MATCH","13"
"VTK001572","HAYAMAX-PR","MLB4967188495","VTK025262","733132120277","3 Jogos De Cordas 009 Custom Light Guitarra Nanoweb Elixir","Elixir","12027","MLB2049022400","MLBU4484989727","","active","494.52","5","https://produto.mercadolivre.com.br/MLB-4967188495-3-jogos-de-cordas-009-custom-light-guitarra-nanoweb-elixir-_JM","gold_pro","true","0","","VTK001572","b120e2a3-9262-4aac-bc9b-824d802612ac","VTK025262","3f941a86-44e3-45cf-ba6c-b67d365d4a6f","","3f941a86-44e3-45cf-ba6c-b67d365d4a6f","NOT_MATCH","13"
"VTK001572","HAYAMAX-PR","MLB7330399364","VTK025248","733132120277","Kit 2 Encordoamentos Guitarra 9 Híbrida Elixir Nanoweb 12027","Elixir","12027","MLB24034312","MLBU4484514675","","active","340.55","7","https://produto.mercadolivre.com.br/MLB-7330399364-kit-2-encordoamentos-guitarra-9-hibrida-elixir-nanoweb-12027-_JM","gold_pro","true","0","","VTK001572","b120e2a3-9262-4aac-bc9b-824d802612ac","VTK025248","20070eb4-bc64-45aa-8ac6-157a41ada896","","20070eb4-bc64-45aa-8ac6-157a41ada896","NOT_MATCH","25"
"VTK001978","HAYAMAX-PR","MLB7287242104","VTK025252","733132160020","2 Jogos De Cordas 010 Extra Light Phosphor Violão Aço Elixir","Elixir","16002","MLB26392717","MLBU4484694735","","active","541.96","7","https://produto.mercadolivre.com.br/MLB-7287242104-2-jogos-de-cordas-010-extra-light-phosphor-violo-aco-elixir-_JM","gold_pro","false","0","","VTK001978","c65bc62f-8b77-4096-aead-8f3c4911e14c","VTK025252","79e7cfa9-8614-4038-96d8-098334c6eb58","","79e7cfa9-8614-4038-96d8-098334c6eb58","NOT_MATCH","11"
"VTK001978","HAYAMAX-PR","MLB4967165957","VTK025266","733132160020","3 Jogos De Cordas 010 Extra Light Phosphor Violão Aço Elixir","Elixir","16002","","MLBU4485107581","","active","874.58","5","https://produto.mercadolivre.com.br/MLB-4967165957-3-jogos-de-cordas-010-extra-light-phosphor-violo-aco-elixir-_JM","gold_pro","false","0","","VTK001978","c65bc62f-8b77-4096-aead-8f3c4911e14c","VTK025266","f01bcca5-9c19-4284-9e09-be2925ab6bef","","f01bcca5-9c19-4284-9e09-be2925ab6bef","NOT_MATCH","11"
"VTK001978","HAYAMAX-PR","MLB7330400402","VTK025252","733132160020","Kit 2 Encordoamento Violão Aço 010 Elixir Extra Light Nanowe","Elixir","16002","MLB26392717","MLBU4484694735","","active","541.96","7","https://produto.mercadolivre.com.br/MLB-7330400402-kit-2-encordoamento-violo-aco-010-elixir-extra-light-nanowe-_JM","gold_pro","true","0","","VTK001978","c65bc62f-8b77-4096-aead-8f3c4911e14c","VTK025252","79e7cfa9-8614-4038-96d8-098334c6eb58","","79e7cfa9-8614-4038-96d8-098334c6eb58","NOT_MATCH","11"
"VTK012362","BKR1","MLB4880561619","VTK012334","008576114022","Palheta De Clarinete Bb Tradicional Vandoren 2 1/2","Vandoren","Tradicional","MLB26802337","MLBU4228156689","","active","57","20","https://produto.mercadolivre.com.br/MLB-4880561619-palheta-de-clarinete-bb-tradicional-vandoren-2-12-_JM","gold_special","true","0","","VTK012362","d324cdae-edbc-4339-993d-5221668cb0dc","VTK012334","e357e606-283c-4812-8b34-5be9b4889884","","e357e606-283c-4812-8b34-5be9b4889884","NOT_MATCH","2"
"VTK012362","BKR1","MLB7111710806","VTK012334","008576114022","Palheta Tradicional 2 P/clarinete Sib Cr102 Vandoren Un","Vandoren","Palheta Tradicional 2 P/clarinete Sib Cr102 Un","MLB26802337","MLBU4228156689","","active","57","20","https://produto.mercadolivre.com.br/MLB-7111710806-palheta-tradicional-2-pclarinete-sib-cr102-vandoren-un-_JM","gold_special","false","0","","VTK012362","d324cdae-edbc-4339-993d-5221668cb0dc","VTK012334","e357e606-283c-4812-8b34-5be9b4889884","","e357e606-283c-4812-8b34-5be9b4889884","NOT_MATCH","0"
"VTK017668","EVOLUSOM-PR","MLB7087416462","VTK006550","097855088840","Kit Teclado E Mouse Logitech Mk120 Usb Abnt2 Preto","Logitech","MK120","MLB39055059","MLBU4195165573","","active","251.56","15","https://produto.mercadolivre.com.br/MLB-7087416462-kit-teclado-e-mouse-logitech-mk120-usb-abnt2-preto-_JM","gold_pro","false","0","","VTK017668","d84b7ace-189f-4ab8-8f7c-9292491e5b9c","VTK006550","8858d887-e76c-4618-964f-bd9eb9d0255b","","8858d887-e76c-4618-964f-bd9eb9d0255b","EXACT_MATCH","95"
"VTK017668","EVOLUSOM-PR","MLB7137214452","VTK006550","097855088840","Kit De Teclado E Mouse Logitech Mk120 Português Brasil De Co Preto","Logitech","MK120","MLB39055059","MLBU4195165573","","active","251.56","15","https://produto.mercadolivre.com.br/MLB-7137214452-kit-de-teclado-e-mouse-logitech-mk120-portugus-brasil-de-co-preto-_JM","gold_pro","true","0","","VTK017668","d84b7ace-189f-4ab8-8f7c-9292491e5b9c","VTK006550","8858d887-e76c-4618-964f-bd9eb9d0255b","","8858d887-e76c-4618-964f-bd9eb9d0255b","DUPLICATE_REMOTE","95"
