"sku","fornecedor","item_id","seller_sku","gtin","title","brand","model","catalog_product_id","user_product_id","variation_id","status","price","quantity","listing_type","sold_quantity","linked_local_sku","match_type","confidence","lookup_status"
"VTK000378","HAYAMAX-PR","MLB7111544682","VTK000298","4718009154322","Cadeira Gamer Thunderx3 Ec1 Ergonômica Ciano","ThunderX3","EC1","MLB15307391","MLBU4248075038","","active","1459.51","15","gold_pro","0","VTK000298","NOT_MATCH","0",""
"VTK000378","HAYAMAX-PR","MLB7381262192","VTK000361","4718009159143","Cadeira Gamer Ergonômica Thunderx3 Yama1 Preta Original","THUNDERX3","Yama1","MLB16097953","MLBU4682070154","","active","2164.08","15","gold_pro","0","VTK000361","NOT_MATCH","0",""
"VTK000378","HAYAMAX-PR","MLB7193721894","VTK000395","4718009159167","Cadeira Gamer Thunderx3 Yama1 Vermelha Ergonomica Preto E Vermelho Nylon","ThunderX3","YAMA1","MLB16097955","MLBU4335183411","","active","2158.51","5","gold_pro","0","VTK000395","NOT_MATCH","0",""
"VTK000378","HAYAMAX-PR","MLB7096943296","VTK000783","4711099476473","Cadeira Gamer Thunderx3 Tgc12 Azul Ergonomica","ThunderX3","TGC12 Loft","","MLBU4204069519","","active","2018.75","15","gold_pro","0","VTK000783","NOT_MATCH","0",""
"VTK000378","HAYAMAX-PR","MLB7111544726","VTK000233","4718009154339","Cadeira Gamer Thunderx3 Ec1 Ergonômica Vermelha","ThunderX3","EC1","MLB14988738","MLBU4227845663","","active","1459.51","15","gold_pro","0","VTK000233","NOT_MATCH","0",""
"VTK000378","HAYAMAX-PR","MLB7298190124","VTK000298","4718009154322","Cadeira Gamer Ergonomica Thunderx3 Ec1 Preto Ciano 150kg Couro Sintético","ThunderX3","EC1","MLB15307391","MLBU4248075038","","active","1459.51","15","gold_pro","0","VTK000298","NOT_MATCH","0",""
"VTK000504","HAYAMAX-PR","MLB4841994489","VTK000571","7890000795838","Base Para Cadeira Thunderx3 Core Preta","ThunderX3","Core","","MLBU4194529543","","active","752.11","15","gold_pro","0","VTK000571","NOT_MATCH","0",""
"VTK000799","HAYAMAX-PR","MLB7145211172","VTK000760","4711099476466","Cadeira Gamer Thunderx3 Tgc12 Loft Grafite","ThunderX3","Cadeira Gamer ThunderX3 TGC12 Loft Grafite","MLB37920830","MLBU4267593623","","active","2018.75","15","gold_pro","0","VTK000760","NOT_MATCH","0",""
"VTK000799","HAYAMAX-PR","MLB7330398912","VTK000760","4711099476466","Cadeira Gamer Thunderx3 Tgc12 Loft Apoio De Braço 2d 82874 Cor Preto Material Do Estofamento Tecido","ThunderX3","ThunderX3 TGC12","MLB37920830","MLBU4267593623","","active","2018.75","15","gold_pro","0","VTK000760","NOT_MATCH","0",""
"VTK001089","HAYAMAX-PR","MLB4857497551","VTK002582","7890443020986","Contrabaixo Giannini Gb-100 Jazz Bass Elétrico Passivo","Giannini","GB-100 Jazz Bass Elétrico Passivo Branco/Turtle","MLB22930733","MLBU4227894465","","paused","1579.96","0","gold_pro","0","VTK002582","NOT_MATCH","0",""
"VTK001089","HAYAMAX-PR","MLB4857497541","VTK002581","7890443020979","Contrabaixo Giannini Gb-100 Jazz Bass Elétrico Passivo","Giannini","GB-100 Jazz Bass Elétrico Passivo Preto/Branco","MLB24540849","MLBU4227891151","","paused","1579.96","0","gold_pro","0","VTK002581","NOT_MATCH","0",""
"VTK001089","HAYAMAX-PR","MLB7149405892","VTK002582","7890443020986","Baixo Giannini Gb-100 4 Cordas Passivo Jazz Ss Branco Envernizado","Giannini","Gb-100","MLB22930733","MLBU4227894465","","paused","1579.96","0","gold_pro","0","VTK002582","NOT_MATCH","0",""
"VTK001119","HAYAMAX-PR","MLB7174400132","VTK000569","7890000796378","Pacote De Parafusos Para Cadeira Tc3 Thunderx3","ThunderX3","Pacote de Parafusos Para Cadeira TC3 ThunderX3","","MLBU4311520327","","paused","1553.47","15","gold_pro","0","VTK000569","NOT_MATCH","0",""
"VTK001277","HAYAMAX-PR","MLB7009336838","VTK001238","7898461969133","Mixer Agratto Mxv-02 200w 220v Com Copo 700ml Vermelho Vermelho 220v","Agratto","MXV-02","MLB15198592","MLBU4127309885","","active","115.75","7","gold_pro","0","VTK001238","NOT_MATCH","1",""
"VTK001277","HAYAMAX-PR","MLB4866744227","VTK001238","7898461969133","Mixer Agratto Mxv-02 200w 220v Com Copo 700ml Vermelho Vermelho 220v","Agratto","MXV-02","MLB15198592","MLBU4265871864","","active","115.75","7","gold_pro","0","VTK001238","NOT_MATCH","1",""
"VTK001277","HAYAMAX-PR","MLB4892650483","VTK001238","7898461969133","Mixer De Mão Agratto Mxv-01 Com Copo 700ml Lâminas Em Aço Inoxidável Design Compacto Para Misturar Triturar E Preparar Receitas Rapidamente Vermelho 127v","Agratto","MX","MLB15198592","MLBU4265871864","","under_review","112.29","7","gold_pro","0","VTK001238","NOT_MATCH","14",""
"VTK001277","HAYAMAX-PR","MLB4898642931","VTK001238","7898461969133","Mixer De Mão Agratto Mxv-01 Com Copo 700ml Lâminas Em Aço Inoxidável Design Compacto Para Misturar Triturar E Preparar Receitas Rapidamente Vermelho 127v","Agratto","MX","MLB15198592","MLBU4127309885","","active","115.75","7","gold_pro","0","VTK001238","NOT_MATCH","14",""
"VTK001277","HAYAMAX-PR","MLB7087133472","VTK001122","7898461965739","Super Mixer Agratto Mx-01 200w 127v 127v","Agratto","Super Mixer Agratto MX-01 200W Preto 127v","","MLBU4194654985","","under_review","114","15","gold_pro","0","VTK001122","NOT_MATCH","0",""
"VTK001277","HAYAMAX-PR","MLB7258671368","VTK001122","7898461965739","Mixer Agratto Super Mixer Mx-01 Com Copo 700ml E 200w De Potência Preto 127v","Agratto","MX","MLB10872952","MLBU4459224192","","active","149.09","15","gold_pro","0","VTK001122","NOT_MATCH","0",""
"VTK001282","HAYAMAX-PR","MLB7381754912","VTK001330","7890000856539","Encosto De Cabeça Ergo One Fortrek Preto","Fortrek","Ergo One","","MLBU4684457096","","active","181.62","8","gold_pro","0","VTK001330","NOT_MATCH","0",""
"VTK001282","HAYAMAX-PR","MLB7087152804","VTK001129","7890000856522","Encosto Ergo One Fortrek","Fortrek","Ergo One","MLB63153504","MLBU4194659259","","paused","485.68","0","gold_pro","0","VTK001129","NOT_MATCH","0",""
"VTK001286","HAYAMAX-PR","MLB4880559807","VTK000783","4711099476473","Cadeira Gamer Thunderx3 Tgc12 Azul Ergonômica Reclinável Com Rodas Tecido","ThunderX3","ThunderX3 TGC12","MLB37921909","MLBU4204069519","","closed","1598.12","15","gold_pro","0","VTK000783","NOT_MATCH","0",""
"VTK001286","HAYAMAX-PR","MLB7096943296","VTK000783","4711099476473","Cadeira Gamer Thunderx3 Tgc12 Azul Ergonomica","ThunderX3","TGC12 Loft","","MLBU4204069519","","active","2018.75","15","gold_pro","0","VTK000783","NOT_MATCH","0",""
"VTK001286","HAYAMAX-PR","MLB4847281703","VTK000128","4710700959558","Cadeira Gamer Thunderx3 Tgc12 Azul Reclinável 120kg","ThunderX3","Cadeira Gamer ThunderX3 TGC12 Azul","MLB10535914","MLBU4223717366","","active","1879","15","gold_pro","0","VTK000128","NOT_MATCH","0",""
