index,sku,state,item_id,catalog_product_id,protective_price,margin_percent,persisted,observation
"1","VTK013008","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075703099","MLB41877035","219.9","50.941337","true",""""""
"2","VTK013007","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075703121","MLB49706888","249.9","50.844338","true",""""""
"3","VTK013088","BLOCK_CATEGORY","","MLB62704096","","","false","""exact_catalog_has_no_reliable_category_and_domain_discovery_maps_to_incompatible_portable_satellite_kit"""
"4","VTK013087","BLOCK_CATEGORY","","","","","false","""no_exact_catalog_and_domain_discovery_maps_divider_to_incompatible_portable_satellite_kit"""
"5","VTK017504","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432492782","MLB76738398","99.9","54.714715","true",""""""
"6","VTK017505","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075703147","","99.9","54.714715","true",""""""
"7","VTK017507","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432450504","","119.9","52.593828","true",""""""
"8","VTK019632","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075703185","MLB32967972","99.9","50.41041","true",""""""
"9","VTK017698","BLOCK_GTIN","","MLB30453141","","","false","""exact_gtin_catalog_identifies_lomes_product_instead_of_local_mxt_12v_2a"""
"10","VTK017336","BLOCK_IDENTITY","","","","","false","""manufacturer_identity_not_available_for_evus_p10_to_xlr_cable"""
"11","VTK026043","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432450528","MLB26209409","99.9","52.712713","true",""""""
"12","VTK026047","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432492832","MLB24551741","199.9","50.805403","true",""""""
"13","VTK026048","BLOCK_GTIN","","MLB74320308","","","false","""exact_gtin_catalog_identifies_pioneer_radio_bundle_not_stetsom_control_alone"""
"14","VTK017376","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432492844","MLB21469644","119.9","51.009174","true",""""""
"15","VTK026007","BLOCK_IDENTITY","","MLB52055696","","","false","""official_saty_model_bgt_15_conflicts_with_local_and_catalog_gbt_15"""
"16","VTK026008","BLOCK_CATEGORY","","MLB26686272","","","false","""exact_catalog_domain_and_category_are_microphone_stands_but_product_is_wall_speaker_support"""
"17","VTK012909","BLOCK_GTIN","","MLB33678717","","","false","""exact_gtin_catalog_identifies_jpg_folk_guitar_cover_not_bkr1_classical_cover"""
"18","VTK017562","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075703275","","119.9","50.842369","true",""""""
"19","VTK017630","BLOCK_GTIN","","MLB29005091","","","false","""exact_gtin_catalog_identifies_peccinin_gate_motor_not_sulton_spw_700_sensor"""
"20","VTK017637","BLOCK_API_CONTRACT","","MLB21757400","","","false","""required_attributes_missing:VOLTAGE,DEVICE_TYPE"""
