sku,gate,local,evidence,sanitation
"VTK017508","REMOTE_PROPAGATION_PENDING","7891112359307","""picture/family propagation did not settle within bounded read-only polling""","IDENTITY_FIX_REQUIRED"
"VTK017625","BLOCK_CATEGORY","7898968476226","""ML domain discovery mapped the Sulton SRX 302 receiver to an incompatible aircraft-radio-control category""","CATEGORY_FIX_REQUIRED"
"VTK017666","BLOCK_REQUIRED_ATTRIBUTE","7898179310913","""missing category-required attributes: ANATEL_HOMOLOGATION_NUMBER""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK012235","BLOCK_CATALOG_IDENTITY","7897079085068","""exact-GTIN required catalog exposes MODEL TS-Séria while manufacturer and local identity are TKL80""","CATALOG_REVIEW_REQUIRED"
"VTK017384","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE","7899938509777","""kit of five Mickey power cords lacks official unit/connector evidence sufficient for the category contract""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK017633","BLOCK_IDENTITY","7897013561276","""Elgin wall-and-vehicle Micro USB kit has supplier evidence only; official kit identity was not located""","IDENTITY_FIX_REQUIRED"
"VTK017898","BLOCK_CATALOG_IDENTITY","7896637677035","{""expected"":""MLB21895542"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":false},""critical"":{},""passed"":false},""results"":[""MLB21895542""]}","CATALOG_REVIEW_REQUIRED"
"VTK017848","BLOCK_REQUIRED_ATTRIBUTE","7898619565781","""missing category-required attributes: VOLTAGE""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK026012","BLOCK_REQUIRED_ATTRIBUTE","7898572881102","""missing category-required attributes: INSTALLATION_PLACEMENT""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK026050","BLOCK_IDENTITY","7908324709056","""MXT HY-033 crimping plier has no official manufacturer identity located""","IDENTITY_FIX_REQUIRED"
"VTK005775","BLOCK_IDENTITY","7908638400212","""Storm DisplayPort 1.2 to USB-C cable lacks primary manufacturer evidence for direction and interface identity""","IDENTITY_FIX_REQUIRED"
"VTK017982","BLOCK_REQUIRED_ATTRIBUTE","4891450986039","""missing category-required attributes: CALCULATOR_TYPE""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK017944","BLOCK_REQUIRED_ATTRIBUTE","7898127608314","""missing category-required attributes: PART_NUMBER,VEHICLE_TYPE""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK018024","BLOCK_REQUIRED_ATTRIBUTE","7898936319227","""missing category-required attributes: VOLTAGE""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK019952","BLOCK_CATALOG_IDENTITY","7896637647571","""required catalog title represents two extensions while the official TS5121 identity is one additional extension""","CATALOG_REVIEW_REQUIRED"
"VTK000540","BLOCK_IMAGE","7890000796255","""local product has zero images and the replacement-seat identity cannot use a similar chair image""","IMAGE_FIX_REQUIRED"
"VTK017155","SOURCE_DEFERRED","7898960877915","""official ASK PNT1 identity/category evidence was not available in the validated source set""","IDENTITY_FIX_REQUIRED"
"VTK025954","BLOCK_GTIN_BRAND_CONFLICT","3045384363973","""GTIN identifies Rochedo Trendy 6 L while local master brand is ARNO""","GTIN_FIX_REQUIRED"
"VTK025859","BLOCK_REQUIRED_ATTRIBUTE","7898554606594","""missing category-required attributes: INCLUDES_ASSEMBLY_MANUAL""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK025860","BLOCK_REQUIRED_ATTRIBUTE","7898554606617","""missing category-required attributes: INCLUDES_ASSEMBLY_MANUAL""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK000092","BLOCK_CATALOG_IDENTITY","7896643412668","{""expected"":""MLB21693541"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":true},""critical"":{""COLOR"":false},""passed"":false},""results"":[""MLB21693541""]}","CATALOG_REVIEW_REQUIRED"
"VTK006567","BLOCK_CATALOG_IDENTITY","3121040090657","""required catalog exposes a generic MODEL value instead of official/local FMQ identity""","CATALOG_REVIEW_REQUIRED"
"VTK025955","SOURCE_DEFERRED","7895500767361","""Arno LQ11 220 V has no exact ML catalog and primary official evidence was not captured in this run""","IDENTITY_FIX_REQUIRED"
"VTK005382","BLOCK_CATALOG_IDENTITY","7898461972614","""required catalog voltage is 220V while Ventisol manufacturer confirms EXB150 as bivolt 127V/220V""","CATALOG_REVIEW_REQUIRED"
"VTK005397","BLOCK_CATALOG_IDENTITY","7898461972607","{""expected"":""MLB22548833"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":false},""critical"":{""VOLTAGE"":false},""passed"":false},""results"":[""MLB22548833""]}","CATALOG_REVIEW_REQUIRED"
"VTK001089","BLOCK_CATALOG_IDENTITY","7890443020962","{""expected"":""MLB23013100"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":true},""critical"":{""COLOR"":false},""passed"":false},""results"":[""MLB23013100""]}","CATALOG_REVIEW_REQUIRED"
"VTK000504","BLOCK_IMAGE","7890000795814","""local ThunderX3 Core Sync6 mechanism has zero images""","IMAGE_FIX_REQUIRED"
"VTK001075","BLOCK_GTIN_UNIT_CONFLICT","7893137318796","""GTIN catalog is a 20-unit CAT6 kit while local product is a 100-unit CAT5e kit""","GTIN_FIX_REQUIRED"
"VTK011959","BLOCK_GTIN_BRAND_CONFLICT","7890000856478","""GTIN catalog identifies an Armarinho São José bag strap, not a Fortrek right armrest""","GTIN_FIX_REQUIRED"
"VTK000429","BLOCK_REQUIRED_ATTRIBUTE","4044155032673","""missing category-required attributes: OUTPUT_CONNECTORS""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK011960","SOURCE_DEFERRED","7890000856485","""Fortrek left-armrest official part identity was not found; side is identity-critical""","IDENTITY_FIX_REQUIRED"
"VTK025858","BLOCK_REQUIRED_ATTRIBUTE","7898554606587","""missing category-required attributes: SEAT_DEPTH,MAX_CHAIR_HEIGHT,INCLUDES_ASSEMBLY_MANUAL""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK025861","BLOCK_REQUIRED_ATTRIBUTE","7898554606624","""missing category-required attributes: INCLUDES_ASSEMBLY_MANUAL""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK006318","BLOCK_IMAGE","7898554609137","""local Fortrek CG633 charger has zero images""","IMAGE_FIX_REQUIRED"
"VTK017783","BLOCK_CATEGORY","7898382148075","""exact required catalog has no seller offer and domain discovery returned no high-confidence category""","CATEGORY_FIX_REQUIRED"
