index,sku,state,item_id,catalog_product_id,price,margin_percent,persisted,observation
"1","VTK017508","REMOTE_PROPAGATION_PENDING","MLB7432501874","","159.9","","false","""picture/family propagation did not settle within bounded read-only polling"""
"2","VTK017625","BLOCK_CATEGORY","","","","","false","""ML domain discovery mapped the Sulton SRX 302 receiver to an incompatible aircraft-radio-control category"""
"3","VTK017666","BLOCK_REQUIRED_ATTRIBUTE","","MLB9004870","","","false","""missing category-required attributes: ANATEL_HOMOLOGATION_NUMBER"""
"4","VTK012235","BLOCK_CATALOG_IDENTITY","","","","","false","""exact-GTIN required catalog exposes MODEL TS-Séria while manufacturer and local identity are TKL80"""
"5","VTK017384","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE","","","","","false","""kit of five Mickey power cords lacks official unit/connector evidence sufficient for the category contract"""
"6","VTK012839","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432625408","MLB23846301","359.9","55.743262","true",""""""
"7","VTK021012","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075741535","MLB7991974","199.9","54.157079","true",""""""
"8","VTK017633","BLOCK_IDENTITY","","","","","false","""Elgin wall-and-vehicle Micro USB kit has supplier evidence only; official kit identity was not located"""
"9","VTK017898","BLOCK_CATALOG_IDENTITY","","MLB21895542","","","false","{""expected"":""MLB21895542"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":false},""critical"":{},""passed"":false},""results"":[""MLB21895542""]}"
"10","VTK017848","BLOCK_REQUIRED_ATTRIBUTE","","MLB65825760","","","false","""missing category-required attributes: VOLTAGE"""
"11","VTK026012","BLOCK_REQUIRED_ATTRIBUTE","","","","","false","""missing category-required attributes: INSTALLATION_PLACEMENT"""
"12","VTK021108","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432625460","MLB20801741","499.9","54.882977","true",""""""
"13","VTK026050","BLOCK_IDENTITY","","","","","false","""MXT HY-033 crimping plier has no official manufacturer identity located"""
"14","VTK017933","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432502048","MLB30220377","149.9","56.044029","true",""""""
"15","VTK005775","BLOCK_IDENTITY","","","","","false","""Storm DisplayPort 1.2 to USB-C cable lacks primary manufacturer evidence for direction and interface identity"""
