sku,gate,evidence,local_value,found_value,suggested_action
"VTK017508","REMOTE_PROPAGATION_PENDING","""picture/family propagation did not settle within bounded read-only polling""","7891112359307","","IDENTITY_FIX_REQUIRED"
"VTK017625","BLOCK_CATEGORY","""ML domain discovery mapped the Sulton SRX 302 receiver to an incompatible aircraft-radio-control category""","7898968476226","","CATEGORY_FIX_REQUIRED"
"VTK017666","BLOCK_REQUIRED_ATTRIBUTE","""missing category-required attributes: ANATEL_HOMOLOGATION_NUMBER""","7898179310913","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK012235","BLOCK_CATALOG_IDENTITY","""exact-GTIN required catalog exposes MODEL TS-Séria while manufacturer and local identity are TKL80""","7897079085068","","CATALOG_REVIEW_REQUIRED"
"VTK017384","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE","""kit of five Mickey power cords lacks official unit/connector evidence sufficient for the category contract""","7899938509777","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK017633","BLOCK_IDENTITY","""Elgin wall-and-vehicle Micro USB kit has supplier evidence only; official kit identity was not located""","7897013561276","","IDENTITY_FIX_REQUIRED"
"VTK017898","BLOCK_CATALOG_IDENTITY","{""expected"":""MLB21895542"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":false},""critical"":{},""passed"":false},""results"":[""MLB21895542""]}","7896637677035","","CATALOG_REVIEW_REQUIRED"
"VTK017848","BLOCK_REQUIRED_ATTRIBUTE","""missing category-required attributes: VOLTAGE""","7898619565781","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK026012","BLOCK_REQUIRED_ATTRIBUTE","""missing category-required attributes: INSTALLATION_PLACEMENT""","7898572881102","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK026050","BLOCK_IDENTITY","""MXT HY-033 crimping plier has no official manufacturer identity located""","7908324709056","","IDENTITY_FIX_REQUIRED"
"VTK005775","BLOCK_IDENTITY","""Storm DisplayPort 1.2 to USB-C cable lacks primary manufacturer evidence for direction and interface identity""","7908638400212","","IDENTITY_FIX_REQUIRED"
"VTK017982","BLOCK_REQUIRED_ATTRIBUTE","""missing category-required attributes: CALCULATOR_TYPE""","4891450986039","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK017944","BLOCK_REQUIRED_ATTRIBUTE","""missing category-required attributes: PART_NUMBER,VEHICLE_TYPE""","7898127608314","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK018024","BLOCK_REQUIRED_ATTRIBUTE","""missing category-required attributes: VOLTAGE""","7898936319227","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK019952","BLOCK_CATALOG_IDENTITY","""required catalog title represents two extensions while the official TS5121 identity is one additional extension""","7896637647571","","CATALOG_REVIEW_REQUIRED"
"VTK000540","BLOCK_IMAGE","""local product has zero images and the replacement-seat identity cannot use a similar chair image""","7890000796255","","IMAGE_FIX_REQUIRED"
"VTK017155","SOURCE_DEFERRED","""official ASK PNT1 identity/category evidence was not available in the validated source set""","7898960877915","","IDENTITY_FIX_REQUIRED"
"VTK025954","BLOCK_GTIN_BRAND_CONFLICT","""GTIN identifies Rochedo Trendy 6 L while local master brand is ARNO""","3045384363973","","GTIN_FIX_REQUIRED"
"VTK025859","BLOCK_REQUIRED_ATTRIBUTE","""missing category-required attributes: INCLUDES_ASSEMBLY_MANUAL""","7898554606594","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK025860","BLOCK_REQUIRED_ATTRIBUTE","""missing category-required attributes: INCLUDES_ASSEMBLY_MANUAL""","7898554606617","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK000092","BLOCK_CATALOG_IDENTITY","{""expected"":""MLB21693541"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":true},""critical"":{""COLOR"":false},""passed"":false},""results"":[""MLB21693541""]}","7896643412668","","CATALOG_REVIEW_REQUIRED"
"VTK006567","BLOCK_CATALOG_IDENTITY","""required catalog exposes a generic MODEL value instead of official/local FMQ identity""","3121040090657","","CATALOG_REVIEW_REQUIRED"
"VTK025955","SOURCE_DEFERRED","""Arno LQ11 220 V has no exact ML catalog and primary official evidence was not captured in this run""","7895500767361","","IDENTITY_FIX_REQUIRED"
"VTK005382","BLOCK_CATALOG_IDENTITY","""required catalog voltage is 220V while Ventisol manufacturer confirms EXB150 as bivolt 127V/220V""","7898461972614","","CATALOG_REVIEW_REQUIRED"
"VTK005397","BLOCK_CATALOG_IDENTITY","{""expected"":""MLB22548833"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":false},""critical"":{""VOLTAGE"":false},""passed"":false},""results"":[""MLB22548833""]}","7898461972607","","CATALOG_REVIEW_REQUIRED"
"VTK001089","BLOCK_CATALOG_IDENTITY","{""expected"":""MLB23013100"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":true},""critical"":{""COLOR"":false},""passed"":false},""results"":[""MLB23013100""]}","7890443020962","","CATALOG_REVIEW_REQUIRED"
"VTK000504","BLOCK_IMAGE","""local ThunderX3 Core Sync6 mechanism has zero images""","7890000795814","","IMAGE_FIX_REQUIRED"
