sku,gate,local,evidence,sanitation
"VTK017215","SOURCE_DEFERRED","7898478322921","""Fiamon arandela without speaker lacks validated official category and required-attribute evidence""","IDENTITY_FIX_REQUIRED"
"VTK012684","BLOCK_GTIN_UNIT_CONFLICT","7897626818279","""exact GTIN catalog is a three-pick kit while the authorized local commercial unit is four picks""","GTIN_FIX_REQUIRED"
"VTK026049","SOURCE_DEFERRED","7896673819543","""Frahm Sensus Lite 150BT lacks an exact official/catalog identity captured for this run""","IDENTITY_FIX_REQUIRED"
"VTK017789","BLOCK_CATEGORY","7898253503859","""Permak Ray Flex vehicle application has no high-confidence ML category in the validated source set""","CATEGORY_FIX_REQUIRED"
"VTK012911","BLOCK_GTIN_BRAND_CONFLICT","7898663801019","""exact GTIN catalog brand is JPG, not local BKR1""","GTIN_FIX_REQUIRED"
"VTK012362","BLOCK_REMOTE_DUPLICATE","008576114039","""exact remote seller SKU, GTIN, or catalog match already exists""","REMOTE_LINK_REVIEW"
"VTK001336","BLOCK_GTIN_UNIT_CONFLICT","17702073028751","""GTIN-14 packaging relation and local commercial quantity are not proven for the requested single frying pan""","GTIN_FIX_REQUIRED"
"VTK000779","SOURCE_DEFERRED","7890000836883","""Tessen TNA-BRK1 bumper identity and category lack official evidence in the validated source set""","IDENTITY_FIX_REQUIRED"
"VTK000572","BLOCK_IMAGE","7890000796392","""local product has zero images""","IMAGE_FIX_REQUIRED"
"VTK000552","BLOCK_IMAGE","7890000795937","""local product has zero images""","IMAGE_FIX_REQUIRED"
"VTK003134","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE","7898566206898","""Storm JCPZ0005 ten-unit kit lacks official evidence for required connector attributes""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK000533","BLOCK_IMAGE","7890000795821","""local product has zero images""","IMAGE_FIX_REQUIRED"
"VTK004505","BLOCK_IMAGE","7890000785488","""local product has zero images""","IMAGE_FIX_REQUIRED"
"VTK025247","BLOCK_IMAGE","7890000784603","""local product has zero images; exact GTIN catalog also identifies an unrelated automotive part""","IMAGE_FIX_REQUIRED"
"VTK018079","SOURCE_DEFERRED","7898566200605","""NWT microfan voltage and category identity lack official evidence in the validated source set""","IDENTITY_FIX_REQUIRED"
"VTK006274","BLOCK_CATALOG_IDENTITY","7898378703493","""catalog MODEL A06V6_S diverges from local/supplier MODEL TVA06V6S""","CATALOG_REVIEW_REQUIRED"
"VTK002437","BLOCK_REQUIRED_ATTRIBUTE","7898946771152","""missing category-required attributes: MODEL""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK006444","BLOCK_REQUIRED_ATTRIBUTE","3016661158094","""missing category-required attributes: POWER_SUPPLY_TYPE""","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK018077","BLOCK_CATEGORY","7899838803159","""category contract/domain is not a high-confidence match""","CATEGORY_FIX_REQUIRED"
"VTK000518","BLOCK_IMAGE","7890000796361","""local product has zero images""","IMAGE_FIX_REQUIRED"
"VTK000216","BLOCK_CATALOG_IDENTITY","7899810414007","""catalog MODEL 21K203 and title SC40 34W diverge from local CP40S Plus 40W identity""","CATALOG_REVIEW_REQUIRED"
"VTK018106","SOURCE_DEFERRED","7898936319241","""Viaweb GPRS IP 2.3 lacks exact official/catalog identity in the validated source set""","IDENTITY_FIX_REQUIRED"
"VTK017636","BLOCK_GTIN_UNIT_CONFLICT","7898419487009","""exact GTIN catalog is a five-unit kit while local commercial unit is one divider""","GTIN_FIX_REQUIRED"
"VTK001057","BLOCK_IMAGE","4711530964651","""local product has zero images""","IMAGE_FIX_REQUIRED"
