sku,gate,evidence,local_value,found_value,suggested_action
"VTK017215","SOURCE_DEFERRED","""Fiamon arandela without speaker lacks validated official category and required-attribute evidence""","7898478322921","","IDENTITY_FIX_REQUIRED"
"VTK012684","BLOCK_GTIN_UNIT_CONFLICT","""exact GTIN catalog is a three-pick kit while the authorized local commercial unit is four picks""","7897626818279","","GTIN_FIX_REQUIRED"
"VTK026049","SOURCE_DEFERRED","""Frahm Sensus Lite 150BT lacks an exact official/catalog identity captured for this run""","7896673819543","","IDENTITY_FIX_REQUIRED"
"VTK017789","BLOCK_CATEGORY","""Permak Ray Flex vehicle application has no high-confidence ML category in the validated source set""","7898253503859","","CATEGORY_FIX_REQUIRED"
"VTK012911","BLOCK_GTIN_BRAND_CONFLICT","""exact GTIN catalog brand is JPG, not local BKR1""","7898663801019","","GTIN_FIX_REQUIRED"
"VTK012362","BLOCK_REMOTE_DUPLICATE","""exact remote seller SKU, GTIN, or catalog match already exists""","008576114039","","REMOTE_LINK_REVIEW"
"VTK001336","BLOCK_GTIN_UNIT_CONFLICT","""GTIN-14 packaging relation and local commercial quantity are not proven for the requested single frying pan""","17702073028751","","GTIN_FIX_REQUIRED"
"VTK000779","SOURCE_DEFERRED","""Tessen TNA-BRK1 bumper identity and category lack official evidence in the validated source set""","7890000836883","","IDENTITY_FIX_REQUIRED"
"VTK000572","BLOCK_IMAGE","""local product has zero images""","7890000796392","","IMAGE_FIX_REQUIRED"
"VTK000552","BLOCK_IMAGE","""local product has zero images""","7890000795937","","IMAGE_FIX_REQUIRED"
"VTK003134","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE","""Storm JCPZ0005 ten-unit kit lacks official evidence for required connector attributes""","7898566206898","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK000533","BLOCK_IMAGE","""local product has zero images""","7890000795821","","IMAGE_FIX_REQUIRED"
"VTK004505","BLOCK_IMAGE","""local product has zero images""","7890000785488","","IMAGE_FIX_REQUIRED"
"VTK025247","BLOCK_IMAGE","""local product has zero images; exact GTIN catalog also identifies an unrelated automotive part""","7890000784603","","IMAGE_FIX_REQUIRED"
