"ordinal","sku","produto_id","nome","marca","estoque","custo","gtin","fornecedor","oferta_preferencial","motivo_de_elegibilidade"
"1","VTK013078","859e5bfa-ccd4-41b0-8ec0-e3ccbb00138d","Pilha Max Aa8+aaa4 Cart 12 Energizer","Energizer","100","42.83","8888021206128","BKR1","78b5b0dc-0e6c-4673-8d8f-6f40c77cadba","ativo+estoque+custo+oferta+sem_vinculo+sem_bloqueio_historico"
"2","VTK004115","2c2705af-8d9d-4155-a010-0213811f3a67","Suporte Magnético Para Antena Móvel PX M-700K Preto AQUÁRIO","AQUARIO","6","105.9","7898127600530","EVOLUSOM-PR","b5846944-6c5a-4b77-b586-72d892ac8faa","ativo+estoque+custo+oferta+sem_vinculo+sem_bloqueio_historico"
"3","VTK018422","cdb8d53f-f752-4163-9b44-8aa7e50ff71c","Haste Permak Para Antena De Teto Gti 095","PERMAK","6","15.4","7898253494676","EVOLUSOM-PR","37377e30-3a86-4c6c-92b3-83b48508e166","ativo+estoque+custo+oferta+sem_vinculo+sem_bloqueio_historico"
"4","VTK018454","df5f076d-34e3-4055-8bb1-4a5c31aade74","Conector Para Cd Vw Jetta/passat","PERMAK","6","24.99","7898253504511","EVOLUSOM-PR","c0f7c49c-b5da-4417-b048-d46f26d677cd","ativo+estoque+custo+oferta+sem_vinculo+sem_bloqueio_historico"
"5","VTK018598","a2a8c7b8-aae0-4782-8b91-d74299209621","Arandela Frahm 6"" Coaxial 30w Rms 8r Redonda 30158","FRAHM","6","139.9","7896673801746","EVOLUSOM-PR","ca1f5907-9314-4fe0-b5c1-0144e4457eec","ativo+estoque+custo+oferta+sem_vinculo+sem_bloqueio_historico"
"6","VTK018608","b24b2c62-e1e9-4db8-a1e7-e091641fc30d","Chicote Dedicado Positron Pronnect Hyundai Veloster 2013","POSITRON","6","21.99","7897789632309","EVOLUSOM-PR","e8f822a4-72d5-4f8a-a105-1ecdebefcf7d","ativo+estoque+custo+oferta+sem_vinculo+sem_bloqueio_historico"
"7","VTK018616","47638703-a897-463e-ae17-0d9ad238732d","Contra Frente Plástica Permak Ka Focus Escot Ranger 2 Din 89/c2","PERMAK","6","12.49","7898253498094","EVOLUSOM-PR","4d91c254-fdc2-4315-92e5-b6f408552819","ativo+estoque+custo+oferta+sem_vinculo+sem_bloqueio_historico"
"8","VTK018636","065903be-45b2-48b6-9023-7735925177ef","Camera Bullet Sohoplus Ip 2 Mp Poe Ip66 Ipc002","SOHOPLUS - FURUKAWA","6","365.9","7893137226954","EVOLUSOM-PR","610670e2-a2ae-4642-ba02-08e29819bccc","ativo+estoque+custo+oferta+sem_vinculo+sem_bloqueio_historico"
"9","VTK018639","9c02c8db-a5e2-45ae-8c77-e25a00e9a0a0","Kit Ventilador Universal Para Rack Piso Max Eletron Com 4 Coolers","MAX ELETRON","6","299.9","7908060206284","EVOLUSOM-PR","a581da61-0d99-42bd-8a14-38d27ddc9ccb","ativo+estoque+custo+oferta+sem_vinculo+sem_bloqueio_historico"
"10","VTK019219","d5887456-14b1-43d1-8f33-27159dc5fe20","Espaguete Liso Permak 12mm 100m","PERMAK","6","120.9","7899079103070","EVOLUSOM-PR","c800f6a8-c3f6-4715-bb33-64da808d3f34","ativo+estoque+custo+oferta+sem_vinculo+sem_bloqueio_historico"
