"sku","produto_id","motivo","evidencia"
"VTK000301","009943c6-e1a6-4f02-94ce-fb23231226ce","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATALOG_IDENTITY:ml-p0-phase6d/VTK000301/summary.json"
"VTK025955","00f7fd6c-3e46-4560-b41c-fea87e4efe6f","EXCLUDED_BY_HISTORICAL_LEDGER","SOURCE_DEFERRED:ml-p0-phase6c/VTK025955/summary.json"
"VTK017630","018f9e02-57ce-4766-a127-8cbee6d3cabc","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_GTIN:ml-p0-phase6b/VTK017630/summary.json"
"VTK025875","02f2056d-43f6-4953-beb3-9762f62e305e","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK000504","037a0d81-85b9-4458-9b07-148b399bb557","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6c/VTK000504/summary.json"
"VTK004505","05ab405c-21f6-48fe-a95d-c45963af73a8","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6d/VTK004505/summary.json"
"VTK017637","063dbebd-b445-4a04-af92-4036ba27b15d","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_API_CONTRACT:ml-p0-phase6b/VTK017637/summary.json"
"VTK025570","066aa4ea-ded4-44b4-a8fb-5eefe12795a9","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025574","07311428-25f4-48a5-806c-7b1046412370","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK001007","09a4e0a6-37b2-4bb3-8f3c-fcadc49c55af","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE:ml-p0-phase6d/VTK001007/summary.json"
"VTK025370","09c1be4f-447e-4953-9993-33cb8becd52e","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025874","0c39c30b-7720-4868-b5cc-7c9a5fc206ab","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK016246","0cbaca88-b155-4087-b308-38abe14befb4","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK012909","0e80f90f-6a72-41e4-9d26-2b8277e0b3f6","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_GTIN:ml-p0-phase6b/VTK012909/summary.json"
"VTK004609","0e89519b-7baa-46d2-918c-876e90ba4953","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6d/VTK004609/summary.json"
"VTK025367","0efe9ce3-b3ea-4ff5-8e39-cb82c92e6c5b","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK001507","1014dfbf-fa3b-4a03-8758-5ed7015ce29c","EXCLUDED_BY_HISTORICAL_LEDGER","MANUAL_IDENTITY:ml-p0-phase5a/summary.json"
"VTK001109","1016b5d8-5964-427a-b5f6-f6d9299f52ae","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6d/VTK001109/summary.json"
"VTK005411","104b4d28-fbc9-4ed7-8bd6-d0c6f0b7729c","EXCLUDED_BY_HISTORICAL_LEDGER","SOURCE_DEFERRED:ml-p0-phase6d/VTK005411/summary.json"
"VTK025858","11487f8c-e900-4bfd-910b-56c93433fbde","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_REQUIRED_ATTRIBUTE:ml-p0-phase6c/VTK025858/summary.json"
"VTK016207","1153e4d4-cede-4d61-a061-f02815226130","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025667","12328a6b-47de-4a02-ba87-b1d73b2989e3","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK001207","12e4dd09-6ad6-40f5-b870-a012960efabe","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6d/VTK001207/summary.json"
"VTK011959","17cdd64e-25c6-4856-aa0f-621c33184e25","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_GTIN_BRAND_CONFLICT:ml-p0-phase6c/VTK011959/summary.json"
"VTK011960","1868c5ab-7c7e-4672-9ec0-1b594a550c90","EXCLUDED_BY_HISTORICAL_LEDGER","SOURCE_DEFERRED:ml-p0-phase6c/VTK011960/summary.json"
"VTK025537","1aae6c25-b0b7-4986-af02-6ea9288018c4","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK000518","1be46bf9-1cd1-4665-a868-2ccb25db3529","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6d/VTK000518/summary.json"
"VTK017633","1dd2a3e6-40d8-4f0b-b302-07e176700573","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IDENTITY:ml-p0-phase6c/VTK017633/summary.json"
"VTK018304","224a8e84-1f7c-4167-9bc0-7a48b468338e","EXCLUDED_BY_HISTORICAL_LEDGER","SOURCE_DEFERRED:ml-p0-phase6d/VTK018304/summary.json"
"VTK013085","23d08c09-1a91-4b46-8386-1a84100e7c45","EXCLUDED_BY_HISTORICAL_LEDGER","SOURCE_DEFERRED:ml-p0-phase6d/VTK013085/summary.json"
"VTK026049","26e1ca23-10e7-4b63-a5b6-45dc054d5eb9","EXCLUDED_BY_HISTORICAL_LEDGER","SOURCE_DEFERRED:ml-p0-phase6d/VTK026049/summary.json"
"VTK016024","2719221b-385e-433c-8830-d37e95f24d3a","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK006318","27f2495d-930e-483d-b2ad-86c5f491fd2f","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6c/VTK006318/summary.json"
"VTK001119","28098ee5-7fbf-4d6c-b634-43e5bad60e7a","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6d/VTK001119/summary.json"
"VTK026007","2a9ff74f-8a08-4d8c-9137-49348c92da92","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IDENTITY:ml-p0-phase6b/VTK026007/summary.json"
"VTK025884","2b7267f3-7fe5-47ed-8e5a-4a299d2528ea","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025812","2e421ac3-0e80-42b6-bd17-2dfacecdf988","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
