"sku","supplier","previous_status","previous_error","attempts","source_status","source_lookup_error","source_found","identity_confirmed","attributes_found","attributes_missing","gtin","new_status","block_reason"
"VTK000533","Hayamax","P0_API_ERROR","firecrawl_search_http_429","1","SOURCE_LOOKUP_DEFERRED","firecrawl_http_402","","false","BRAND|MODEL|GTIN","PART_NUMBER","7890000795821","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred"
"VTK000540","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_LOOKUP_DEFERRED","firecrawl_http_402_circuit_open","","false","BRAND|MODEL|GTIN","BACKREST_HEIGHT|SEAT_DEPTH|OFFICE_CHAIR_WIDTH|MAX_CHAIR_HEIGHT|REQUIRES_ASSEMBLY|IS_GAMER|IS_ERGONOMIC|IS_SWIVEL|INCLUDES_ASSEMBLY_MANUAL","7890000796255","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred"
"VTK000552","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_LOOKUP_DEFERRED","firecrawl_http_402_circuit_open","","false","BRAND|MODEL|GTIN","","7890000795937","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred"
"VTK000568","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_FOUND_SECONDARY","firecrawl_http_402_circuit_open","","true","BRAND|MODEL|GTIN","OUTPUT_CONNECTORS","7898554607508","P0_MANUAL_IDENTITY","official_source_not_confirmed"
"VTK000572","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_LOOKUP_DEFERRED","firecrawl_http_402_circuit_open","","false","BRAND|MODEL|GTIN","","7890000796392","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred"
"VTK000619","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_FOUND_SECONDARY","firecrawl_http_402_circuit_open","","true","BRAND|MODEL|GTIN","DEPTH|WIDTH|HEIGHT|DESK_MATERIALS|REQUIRES_ASSEMBLY|INCLUDES_ASSEMBLY_MANUAL","4711099473977","P0_MANUAL_IDENTITY","official_source_not_confirmed"
"VTK000779","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_LOOKUP_DEFERRED","firecrawl_http_402_circuit_open","","false","BRAND|MODEL|GTIN","","7890000836883","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred"
"VTK000799","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_FOUND_SECONDARY","firecrawl_http_402_circuit_open","","true","BRAND|MODEL|GTIN","BACKREST_HEIGHT|SEAT_DEPTH|OFFICE_CHAIR_WIDTH|MAX_CHAIR_HEIGHT|REQUIRES_ASSEMBLY|IS_GAMER|IS_ERGONOMIC|IS_SWIVEL|INCLUDES_ASSEMBLY_MANUAL","4711099476480","P0_MANUAL_IDENTITY","possible_remote_listing_requires_review"
"VTK000809","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_FOUND_SECONDARY","firecrawl_http_402_circuit_open","","true","BRAND|MODEL|GTIN","","7898461976650","P0_MANUAL_IDENTITY","official_source_not_confirmed"
"VTK000831","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_FOUND_SECONDARY","firecrawl_http_402_circuit_open","","true","BRAND|MODEL|GTIN","MANUFACTURER|LENGTH|HEIGHT|DEPTH|MATERIAL|REQUIRES_ASSEMBLY|INCLUDES_ASSEMBLY_MANUAL","7896643439405","P0_MANUAL_IDENTITY","official_source_not_confirmed"
"VTK000949","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_FOUND_SECONDARY","firecrawl_http_402_circuit_open","","true","BRAND|GTIN","MANUFACTURER|MODEL|LENGTH|HEIGHT|DEPTH|MATERIAL|REQUIRES_ASSEMBLY|INCLUDES_ASSEMBLY_MANUAL","7896643439412","P0_MANUAL_IDENTITY","official_source_not_confirmed"
"VTK001007","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_LOOKUP_DEFERRED","firecrawl_http_402_circuit_open","","false","BRAND|MODEL|GTIN","","10564050000108","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred"
"VTK001011","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_FOUND_SECONDARY","firecrawl_http_402_circuit_open","","true","BRAND|MODEL|GTIN","POWER_SUPPLY_TYPES","7898461965838","P0_MANUAL_IDENTITY","official_source_not_confirmed"
"VTK001039","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_LOOKUP_DEFERRED","firecrawl_http_402_circuit_open","","false","BRAND|MODEL|GTIN","PART_NUMBER","7890000796385","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred"
"VTK001057","Hayamax","P0_API_ERROR","firecrawl_search_http_429","0","SOURCE_LOOKUP_DEFERRED","firecrawl_http_402_circuit_open","","false","BRAND|MODEL|GTIN","","4711530964651","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred"
