"sku","supplier","product","gtin","stock","source_status","official_source","new_status","block_reason","structural_score","documentary_score","publication_score","missing_attributes","title"
"VTK000533","Hayamax","MECANISMO SYNC5 XTC","7890000795821","","SOURCE_LOOKUP_DEFERRED","","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred","85","","25","",""
"VTK000540","Hayamax","Assento Para Cadeira Core Loft Black ThunderX3","7890000796255","","SOURCE_LOOKUP_DEFERRED","","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred","85","","25","",""
"VTK000552","Hayamax","Pistão À Gás Guardian Yama1 Core ThunderX3","7890000795937","","SOURCE_LOOKUP_DEFERRED","","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred","85","","40","",""
"VTK000568","Hayamax","Microfone Sem Fio Harmonics HSF-200 Simples","7898554607508","","SOURCE_FOUND_SECONDARY","","P0_MANUAL_IDENTITY","official_source_not_confirmed","100","60","55","",""
"VTK000572","Hayamax","Encosto Para Cadeira XTC Mesh Black ThunderX3","7890000796392","","SOURCE_LOOKUP_DEFERRED","","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred","85","","40","",""
"VTK000619","Hayamax","Mesa Gamer ThunderX3 ED5 2.0 Preta","4711099473977","","SOURCE_FOUND_SECONDARY","","P0_MANUAL_IDENTITY","official_source_not_confirmed","100","60","55","",""
"VTK000779","Hayamax","Suporte Bumper Para Monitor de Áudio HH Tessen TNA-BRK1","7890000836883","","SOURCE_LOOKUP_DEFERRED","","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred","100","","50","",""
"VTK000799","Hayamax","Cadeira Gamer ThunderX3 TGC12 Loft Cinza","4711099476480","","SOURCE_FOUND_SECONDARY","","P0_MANUAL_IDENTITY","possible_remote_listing_requires_review","100","60","55","",""
"VTK000809","Hayamax","Omeleteira Agratto Mr. Cheff 800w 220v","7898461976650","","SOURCE_FOUND_SECONDARY","","P0_MANUAL_IDENTITY","official_source_not_confirmed","90","60","60","",""
"VTK000831","Hayamax","Kit Prateleiras Decore Multivisão Branco","7896643439405","","SOURCE_FOUND_SECONDARY","","P0_MANUAL_IDENTITY","official_source_not_confirmed","100","60","55","",""
"VTK000949","Hayamax","Kit Prateleiras Decore Multivisão Preto","7896643439412","","SOURCE_FOUND_SECONDARY","","P0_MANUAL_IDENTITY","official_source_not_confirmed","90","60","45","",""
"VTK001007","Hayamax","Copo Para Liquidificador Com Alça RI2101/02/03 Branco Walita - CX / 6","10564050000108","","SOURCE_LOOKUP_DEFERRED","","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred","100","","50","",""
"VTK001011","Hayamax","Fogão Elétrico de Mesa Agratto FM01 Cinza 127v","7898461965838","","SOURCE_FOUND_SECONDARY","","P0_MANUAL_IDENTITY","official_source_not_confirmed","100","60","55","",""
"VTK001039","Hayamax","Assento Para Cadeira XTC Mesh Black ThunderX3","7890000796385","","SOURCE_LOOKUP_DEFERRED","","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred","85","","25","",""
"VTK001057","Hayamax","Pistão A Gás BC1 ThunderX3","4711530964651","","SOURCE_LOOKUP_DEFERRED","","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred","85","","40","",""
"VTK001063","Hayamax","Pistão A Gás BC1 ThunderX3","4711530961148","","SOURCE_LOOKUP_DEFERRED","","SOURCE_LOOKUP_DEFERRED","external_source_infrastructure_deferred","85","","40","",""
"VTK001075","Hayamax","Conector RJ45 Macho CAT5E Sohoplus - PCT / 100","7893137318796","","SOURCE_FOUND_SECONDARY","","P0_MANUAL_IDENTITY","official_source_not_confirmed","100","60","70","",""
