"sku","fornecedor","nome","gtin_atual","categoria_gtin","justificativa","fonte","status","conditional_required_ids","dslite_gtin_live"
"VTK012014","BKR1","Conector Para Cabo Fêmea P/ac - Corpo Azul Wc 3 Fca Wireconex 02 Unidades","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB38172","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012016","BKR1","Kit Conectores Xlr 1003 1013 20un (10 Machos/10 Femeas) Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB420707","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012018","BKR1","Kit Conector Xlr Macho Wc 1013 (10un) Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB420707","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012022","BKR1","Conector Combo Xlr Fêmea Painel 3p Wc 330 Wireconex 04 Unidades","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB420707","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012039","BKR1","Kit Conector Xlr Macho Wc 1013 (10un) Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB420707","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012040","BKR1","Kit Conectores Xlr 1003 1013 20un (10 Machos/10 Femeas) Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB420707","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012148","BKR1","Adaptador Rca Fêmea P/xlr 3p Fêmea Niq. Wc 244 Ad 02 Unidades Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB438559","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012233","BKR1","Palheta Bori Grl At-r16102 Picker 0,73 Mm (azul) R21003 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012236","BKR1","Palheta Bori Grl At-r16104 Picker 0,96 Mm (amarelo) R21005 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012237","BKR1","Palheta Bori Grl At-r16147 Rio Xxl (preto) R21032 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012248","BKR1","Palheta Bori Grl At-r16103 Picker 0,82 Mm (vermelho) R21004 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012267","BKR1","Adaptador Rca Macho P/xlr 3p Fêmea Niq. Wc 242 Ad 02 Unidades Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB438559","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012275","BKR1","Palheta Bori Grl At-r16110 S.t.d 0,94 Mm (verde Esc) R21014 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012281","BKR1","Kit Conector Speakon Wc 605 (20un) Wireconex","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 108; ML categoria MLB420707","GTIN_IDENTITY_BLOCKED","GTIN",""
