"sku","fornecedor","remote_listing_checked","remote_listing_found","remote_item_ids","lookup_method","lookup_status","lookup_error"
"VTK000039","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id|title_model_diagnostic","NOT_FOUND",""
"VTK000092","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id|title_model_diagnostic","NOT_FOUND",""
"VTK000216","Evolusom","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id|title_model_diagnostic","NOT_FOUND",""
"VTK000223","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id_unavailable|title_model_diagnostic","NOT_FOUND",""
"VTK000301","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id|title_model_diagnostic","NOT_FOUND",""
"VTK000378","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id|title_model_diagnostic","TITLE_MODEL_CANDIDATE_ONLY",""
"VTK000392","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id|title_model_diagnostic","NOT_FOUND",""
"VTK000429","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id|title_model_diagnostic","NOT_FOUND",""
"VTK000486","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id|title_model_diagnostic","NOT_FOUND",""
"VTK000504","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id_unavailable|title_model_diagnostic","TITLE_MODEL_CANDIDATE_ONLY",""
"VTK000518","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id_unavailable|title_model_diagnostic","NOT_FOUND",""
"VTK000533","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id_unavailable|title_model_diagnostic","NOT_FOUND",""
"VTK000540","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id_unavailable|title_model_diagnostic","NOT_FOUND",""
"VTK000552","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id_unavailable|title_model_diagnostic","NOT_FOUND",""
"VTK000568","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id|title_model_diagnostic","NOT_FOUND",""
"VTK000572","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id_unavailable|title_model_diagnostic","NOT_FOUND",""
"VTK000619","Hayamax","true","false","","seller_sku_full_inventory|gtin_full_inventory|item_id_unavailable|user_product_id_unavailable|catalog_product_id|title_model_diagnostic","NOT_FOUND",""
